Question,answer,A,B,C,D,E,
患者喘而胸满闷窒，咳嗽痰多，粘腻色白，苔厚腻脉滑，治宜(    )。,A,化痰降逆,温肺化痰,利气豁痰,清热化痰,,
喘促短气，气怯声低，自汗恶风，易感冒，脉软弱，方用(    )。,B,生脉散,补肺汤合玉屏风散,补中益气汤,八珍汤,,
实喘肝气乘肺症见呼吸短促，息粗气憋，咽中如窒者，方用(    )。,C,旋复代赭汤,半夏厚朴汤,五磨饮子,六磨汤,,
喘脱宜扶阳固脱，镇摄肾气，方用(    )。,D,·参蛤散,生脉散,七味都气丸,参附汤合黑锡丹,,
虚喘肾气虚兼痰浊壅肺，喘咳痰多，气急满闷，苔腻，属(    )证。,D,本虚标实,虚实挟杂,上热下寒,上实下虚,,
饮凌心肺型喘病的治法是(    )。,A,温阳利水，泻肺平喘,温阳化饮，补肺平喘,利水消肿，泻肺平喘,化饮降逆，泻肺平喘,,
肝气乘肺型喘病的治法是(    )。,C,舒肝利肺,清肝降气,开郁降气,开郁平喘,,
清泄痰热法可适用于(    )。,A,痰热遏肺型喘病,热哮证,痰热郁肺型咳嗽,痰热郁肺型肺胀,,
首载肺胀病名的医著是(    )。,A,《内经》,《金匮要略》,《丹溪心法》,《诸病源候论》,,
肺胀的病理性质属(    )。,C,上盛下虚,表实里虚,本虚标实,标本俱虚,,
肺胀，喘而上气，喉中如有水鸡声，表寒不著者，可选用,D,小青龙汤,小青龙加石膏汤,麻黄汤,射干麻黄汤,,
咳嗽痰多，喉间痰鸣，胸部膨胀，憋闷如窒，唇甲紫绀，舌质紫暗，苔浊腻，脉弦滑者，证属(    )。,A,痰瘀阻肺型肺胀,痰热遏肺型喘病,痰浊阻肺型喘病,痰湿蕴肺型咳嗽,,
呼吸浅短难续，咳声低怯，胸满短气，心慌，形寒汗出，苔白润脉沉细，方宜(    )。,D,金匮肾气丸,真武汤合五苓散,补肺汤合生脉散,补虚汤合参蛤散,,
下列哪部医著认为肺胀与痰饮有关?,C,《内经》,《诸病源候论》,《金匮要略》,《张氏医通》,,
患者咳逆喘满不得卧，咯痰白稀，呈泡沫状，胸部膨满恶寒，舌苔白滑，脉浮紧，证属(    )。,A,外寒内饮型肺胀,风寒闭肺型喘病,风寒袭肺型肺胀,寒哮,,
咳逆喘息气粗，痰黄，胸满烦燥，溲黄口渴，苔黄腻，脉滑数,B,小青龙加石膏汤,越婢加半夏汤,麻杏石甘汤,白虎加苍术汤,,
患者面浮，下肢肿，脘痞腹胀，心悸，喘咳不能平卧，面唇青紫，苔白滑，脉结代，治法宜(    )。,C,补肺纳肾，降气平喘,涤痰祛瘀，泻肺平喘,温阳化饮利水,温肺散寒，降逆涤痰,,
咳逆喘促．B重，嗜睡，烦躁不安，昏迷抽搐，方用(    )。,A,涤痰汤合至宝丹或安宫牛黄丸,二陈汤合安宫牛黄丸,礞石滚痰丸合苏合香丸,参附汤合黑锡丹,,
首次列有肺痈病名的著作是(    )。,C,《内经》,《诸病源候论》,《金匮要略》,《备急千金要方》,,
苇茎汤是治肺痈的要方，出自(    )。,B,《金匮要略》,《备急千金要方》,《十药神书》,《医宗金鉴》,,
肺痈初期主要症状是(    )。,A,发热恶寒,壮热振寒,咳吐黄绿痰,咳痰如米粥,,
肺痈的病理病机是(    )。,D,痰热互结于胸,痰热蕴结于肺,气滞血瘀于肺,痰热与血瘀互结于肺,,
肺痈初期的治法是(    )。,C,清热肃肺,清热解毒,清肺散邪,疏风散热,,
肺痈的病理性质是(    )。,A,实证热证,虚证热证,本虚标实证,寒热错杂证,,
患者发热微恶寒，咯粘液脓性痰，胸痛呼吸不利，诊为肺痈初期，方用(    )。,A,银翘散,千金苇茎汤,如金解毒散,加味桔梗汤,,
患者发热振寒，咳嗽胸痛，痰浊有腥味，诊为肺痈，方宜(    )。,B,普济消毒饮,千金苇茎汤合如金解毒散,清瘟败毒散,加味桔梗汤合黄连解毒汤,,
肺痈恢复期的治疗原则是(    )。,A,养阴益气，扶正祛邪,养阴益气，清肺排毒,扶正祛邪，滋养肺阴,养肺滋阴，扶正排毒,,
肺痈成痈期，热毒瘀结严重时，可配合使用(    )。,A,犀黄丸,珍黄散,锡类散,鱼腥草,,
肺痈的成痈期的治疗原则是(    )。,C,清热解毒，清肺消痈,清肺消痈，祛痰化瘀,清热解毒，化瘀消痈,活血化瘀，清肺消痈,,
肺痈溃脓期的治法是(    )。,D,清热排脓,清肺排脓,化瘀排脓,排脓解毒,,
肺痈溃脓期可选用(    )。,C,千金苇茎汤,沙参麦冬汤,加味桔梗汤,竹叶石膏汤,,
肺痈脓溃以后，患者热退咳减痰稀，咯吐脓血渐少，臭味亦减，气短乏力，午后潮热，宜用(    )。,D,六君子汤合泻白散,沙参麦冬汤合生脉散,百合固金汤,沙参清肺汤合竹叶石膏汤,,
最早记载肺痨具有传染性的著作是(    )。,C,《内经》,《难经》,《肘后备急方》,《仁斋直指方》,,
治疗阴虚火旺型肺痨的方药是(    )。,C,月华丸,沙参麦冬汤,百合固金汤,桑杏汤,,
肺痨的致病因素是(    )。,A,痨虫感染,营养不良,六淫致病,七情内伤,,
最早确立滋阴降火法治疗肺痨的著作是(    )。,C,《十药神书》,《肘后备急方》,《丹溪心法》,《仁斋直指方》,,
咳嗽无力，痰中夹血，血色淡红，午后潮热，面色觥白，颧红，舌质嫩红，或舌淡有齿印，苔薄脉细弱而数者，属(    )。,B,肺阴亏虚,气阴耗伤,阳气不足,肺脾两虚,,
肺痨的盗汗由(   )所致。,D,阴虚内热,虚火逼津,阴阳两虚,内热蒸腾，逼津外出,,
肺痨的病理性质主要为(    )。,B,虚实挟杂,以阴虚为主,气阴亏损,阴阳两虚,,
肺痨病机为(    )。,A,阴虚火旺,肺热阴伤,燥热伤肺,肺经郁热,,
气阴耗伤型肺痨选用的方剂是（     ）。,D,补肺汤,生脉散合六君子汤,补天大造丸,保真汤,,
阴虚火旺型肺痨的治法是(    )。,C,养阴清肺,润肺杀虫,滋阴降火,滋阴清热,,
患者呛咳气急，痰少质粘，咯血色鲜红，午后潮热，五心烦热，颧红盗汗，舌红而干，苔薄黄或剥，脉细数，证属(    )。,A,阴虚火旺型肺痨,肺阴亏耗型咳嗽,肺阴亏虚型肺痨,恢复期肺痈,,
患者干咳少痰，痰中带血，胸部疼痛，潮热颧红，咽干口燥，舌质红，苔薄黄而少津，脉细数，方用(    )。,C,清燥救肺汤,秦艽鳖甲散,百合固金汤,月华丸,,
最早提出“治瘵疾，杀瘵虫”的著作是(    )。,D,《肘后备急方》,《备急千金要方》,《十药神书》,《仁斋直指方》,,
肺阴亏虚型肺痨的治法是(    )。,A,清热滋阴杀虫,养阴清肺止咳,养阴润肺，清热止咳,,,
最早记载脉律不齐是疾病表现的医著（     ）。,A,《内经》,《丹溪心法》,《伤寒论》,《金匮要略》,,
心悸病位在心，其发病与（    ）脏腑功能失调有关。,A,脾肾肺肝,肺脾肾胆,肝肾脾胃,心脾肝肾,,
患者心悸善惊易恐，坐卧不安，舌苔薄白，脉弦细，属心悸(    )证型。,A,心阳不振,阴虚火旺,心脾两虚,,,
阴虚火旺心悸的特点是(    )。,B,心悸遇劳而发,心悸心烦少寐,心悸咽干口燥,心悸头晕目眩,,
下列除(    )外，均为心脾两虚型心悸的主证。,B,心悸头晕,心悸易惊,面色无华,倦怠乏力,,
心悸咳喘，不能平卧，肢体浮肿，小便不利，舌淡胖，脉沉细无力，最佳方剂是(    )。,D,苓桂术甘汤,五皮饮,真武汤,,,
振奋心阳，化气行水适用于(    )证型之心悸。,A,水饮凌心,心阳不振,肾阳虚衰,心脾两虚,,
心悸胸闷，心痛时作，痛如针刺，唇甲青紫，舌紫暗，脉结代，此属(    )证型。,A,瘀血阻痹型胸痹,阳虚夹瘀型心悸,心阳不振型胸痹,,,
痰火扰心型心悸，最佳治疗方剂是(    )。,D,二陈汤,温胆汤,黄连阿胶汤,黄连温胆汤,,
下列(    )不是心悸的临床特点。,C,心中悸动不安,心悸不能自主,与气候变化有关,因情绪波动而发,,
患者心悸胸闷气短，面色苍白，形寒肢冷，舌淡苔白，脉虚弱，治宜(    )。,B,温补心阳，安神定悸,补益阳气，温振心阳,益气温阳，活血通络,,,
心血瘀阻型心悸宜选用方剂是(    )。,B,血府逐瘀汤,桃仁红花煎,通窍活血汤,丹参饮,,
提出胸痹病机为“阳微阴弦”的著作是(    )。,A,《金匮要略》,《世医得效方》,《证治准绳》,《时方歌括》,,
下列(    )不是胸痹的病因。,B,寒邪内侵,水饮凌心,饮食不当,情志失调,,
胸痹心痛病位在心，尚与(    )脏腑功能失调有关。,C,肝胆脾,肺脾肾,肝脾肾,肺肝肾,,
胸痹缓解期主要表现为心脾肾气血阴阳亏虚，最常见(    )。,D,脾气虚，脾阳虚,心血虚，心阴虚,肾气虚，肾阳虚,心气虚，心阳虚,,
当归四逆汤用于治疗何类型胸痹心痛?,B,气滞心胸,寒疑心脉,心气不足,心阳不足,,
患者疼痛剧烈，背痛彻心，心痛彻背，痛无休止，身寒肢冷，气短喘息，脉沉紧，治疗主方是(    )。,D,参附汤,血府逐瘀汤,乌头赤石脂丸,,,
气滞心胸的特点是(    )。,A,心胸满闷，痛无定处,心胸隐痛，胸闷气短,心痛彻背，背痛彻心,胸闷疼痛，心悸自汗,,
痰浊闭阻型胸痹心痛的治法是(    )。,C,清热化痰，宁心安神,活血化瘀，化痰通络,通阳泄浊，豁痰开结,健脾化浊，豁痰开窍,,
胸部刺痛，固定不移，入夜尤甚，心悸不宁，舌暗红，脉涩，方选(    )。,C,桃仁红花煎,桃红四物汤,通窍活血汤,,,
瘀血痹阻型胸痹心痛兼寒者，宜在活血化瘀，通脉止痛基础上加用(    )。,C,补中益气之品,温通散寒之晶,温振心阳之品,,,
治疗心肾阴虚型胸痹心痛的主方是(    )。,B,天王补心丹,左归饮,六味地黄丸,生脉散,,
下列(    )不是心阴亏损型胸痹心痛的主证。,D,心胸疼痛,心悸怔忡,五心烦热,面色晃白,,
心阳不振型胸痹心痛的治法是(    )。,A,补益阳气，温振心阳,温补心阳，安神定悸,温阳补肾，化气行水,补气回阳，散寒化浊,,
患者胸痛短气，汗出肢冷，面色苍白，甚则昏厥，舌淡苔白，脉微欲绝，宜选(    )。,D,栝蒌薤白半夏汤,乌头赤石脂丸,参附龙牡汤，,,,
苏合香丸治疗胸痹心痛属(    )。,A,寒凝气滞,心气不足,心阴亏损,痰火闭阻,,
阴虚火旺型胸痹心痛的治法(    )。,A,滋阴清火，养心安神,滋阴清热，养心安神,滋阴降火，清心安神,养阴清热，补心安神,,
“无痰不作眩”语出(    )。,C,《内经》,《伤寒论》,《丹溪心法》,《景岳全书》,,
提出“无虚不作眩”的医家是(    )。,A,明·张景岳,元·朱丹溪,汉·张仲景,宋·严用和,,
眩晕致病的病因性质为(    )。,D,风寒痰瘀虚,风火湿瘀虚,寒湿痰瘀虚,风火痰瘀虚,,
眩晕的病性以(    )为主。,C,寒,热,虚,实,,
下列(    )不是肝阳上亢所致眩晕主症。,C,眩晕耳鸣,急躁易怒,心中懊恼,头痛且胀,,
痰浊上蒙型眩晕的证候特点是(    )。,B,眩晕头重如裹,眩晕头重如蒙,眩晕耳鸣头胀痛,眩晕动则加剧,,
患者眩晕，头目胀痛，心烦口苦，渴不欲饮，苔黄腻，脉弦滑，治疗最佳方剂是(    )。,D,天麻钩藤饮,二陈汤,黄连温胆汤,,,
症见头晕头胀，口干口苦，烦躁易怒，胸胁胀痛，溲赤便秘，舌红苔黄腻，治宜(    )。,B,清肝泻火，清利湿热,清热化痰，通窍活络,清热泻火，平肝熄风,,,
补养气血、健运脾胃之法适用于眩晕兼有(    )。,C,急躁易怒,头重如蒙,面色晃白,胸闷作恶,,
症见头晕时作，气短懒言，神疲乏力，食少便溏下坠，脉无力者，宜用(    )。,A,归脾汤,人参健脾丸,半夏白术天麻汤,,,
气血亏虚型眩晕的特点是(    )。,D,眩晕头痛，耳鸣耳聋,眩晕神疲健忘，腰膝酸软,眩晕胸闷作恶，头重如蒙,头晕目眩，遇劳则发，面色觥白,,
将中风明确分为闭、脱二证的医家是(    )。,C,清·叶天士,清·王清任,明·李中梓,明·张景岳,,
在中风病因学中倡导“非风”学说的医家是(    )。,B,张仲景,张景岳,朱丹溪,李东垣,,
中风病因学说的发展可划分为两个阶段，其界限是(    )。,B,汉代,唐宋,金元,明代,,
中风的基本病机为(    )。,A,气血逆乱，上犯于脑，脑之神明失用,气血不足，清窍失养,痰浊瘀血，闭阻清窍,风火相煽，气血逆乱,,
下列(    )不属于中风的主证。,D,卒然昏仆,语言謇涩,半身不遂,醒后如常人,,
中经络与中脏腑的根本区别是(    )。,B,有无外邪侵袭,有无神志改变,有无半身不遂,有无口眼歪斜,,
中风卒然昏倒时，首先应辨清(    )。,C,虚证与实证,阴证与阳证,闭证与脱证,寒证与热证,,
下列(    )不是闭证、脱证的鉴别要点。,D,目合口开与口噤不开,手撒肢冷与两手握固,二便自遗与大小便闭,躁动不安与静而不烦,,
区分阳闭、阴闭的关键在于(    )。,A,有无热象,有无半身不遂,有无昏迷,有无痰鸣,,
中风病的治疗原则是(    )。,C,理气解郁,补养气血,补虚泻实,调整阴阳,,
中风脱证的治法是(    )。,D,益气活血，扶正祛邪,滋养肝肾，潜阳熄风,清热化痰，醒神开窍,救阴回阳，扶正固脱,,
预防中风病发生的关键是(    )。,D,调情志,慎起居,节饮食,重视先兆症状,,
中风阳闭可选用(    )。,A,清开灵,生脉注射液,参附注射液,黄芪注射液,,
患者突然出现半身不遂、口舌歪斜、舌强言謇、偏身麻木、头晕目眩、舌淡黯苔白腻、脉弦滑，证属(    )。,B,风痰瘀血，痹阻脉络,痰热腑实，风痰上扰,痰热内闭清窍,,,
清热化痰，醒神开窍治疗何类型中风?,C,痰湿蒙塞心神,元气败脱，神明散乱,痰热内闭清窍,痰热腑实，风痰上扰,,
最早提出“胃不和则卧不安”的医著(    )。,A,《黄帝内经》,《金匮要略》,《景岳全书》,《张氏医通》,,
失眠的病位在(    )。,C,脑,脾,心,肾,,
心神失养，心神不安是(    )病的病机。,D,心悸,中风,胸痹,失眠,,
症见多梦易醒，心悸头眩，肢倦纳差，舌淡苔白、脉细弱，治宜(    )。,D,清心泻火，宁心安神,益气镇惊，安神定志,补益心脾，养心安神,,,
症见心烦不寐，胸闷泛恶，头重目眩，口苦，舌红苔黄腻，脉滑数，宜选用(    )。,D,朱砂安神丸,丹栀逍遥散,黄连温胆汤,,,
心烦不寐，躁扰不宁，口舌生疮，小便短赤，舌红苔薄黄，脉细数，症属(  )。,A,痰热内扰,心脾两虚,阴虚火旺,,,
老年人夜寐早醒而无虚烦之症多属(    )。,B,肝肾阴虚,气血不足,心胆气虚,心火偏亢,,
肾精亏虚型健忘的最佳方剂是(    )。,A,六味地黄丸,归脾汤,杞菊地黄丸,安神定志丸,,
补益心脾，养心安神之法，适用于下列(    )病证。,B,心脾两虚型心悸,心脾两虚型失眠,心脾两虚型痫病,心脾两虚型癫病,,
最早提出“痴呆”病名的著作是(    )。,B,《灵枢·天年》,《景岳全书》,《金匮要略》,《辨证录》,,
认为痴呆“有可愈者，有不可愈者，都在乎胃气元气之强弱；的医家是(    )。,A,张仲景,陈士铎,李东垣,,,
实证痴呆的基本病因为(    )。,D,痰火,痰热,痰湿,痰瘀,,
痴呆最早出现的症状是(    )。,A,善忘,幻听幻视,动作笨拙,言辞颠倒,,
痴呆与健忘的根本区别是(    )。,A,不知前事与善忘前事,记忆力差,性格改变,判断力减退,,
痴呆的治疗大法(    )。,A,补虚益损，解郁散结,虚者补之，实者泻之,寒者热之，热者寒之,调整阴阳，移情易性,,
患者头晕耳鸣，记忆力减退，嗜睡，毛发稀疏，腰酸骨软，舌瘦色淡，脉沉细弱，宜选用方剂为(    )。,B,七福饮,大补元煎,归脾汤,,,
表情呆钝，智力衰退，终日无语，头重如裹，多属(    )。,D,气血不足,瘀血内阻,髓海不足,痰浊蒙窍,,
表情迟钝，语言不利，记忆力减退，易惊恐，肌肤甲错，舌质暗，脉细涩，治宜(    )。,B,活血化瘀，开窍醒脑,益气活血，扶正祛邪,活血化瘀，通窍活络,,,
强调痫病与先天因素有关，治疗以针刺为主的著作是(    )。,A,《内经》,《诸病源候论》,《难经》,《医宗必读》,,
痫病发病最重要的外因是(    )。,C,火邪,湿邪,痰邪,风邪,,
痫病七情失调主要责之于(    )。,D,喜,怒,忧思,惊恐,,
痫病的病机关键为(    )。,A,元神失控,气血逆乱,清窍蒙蔽,七情失调,,
痫病治标大法是(    )。,D,化痰宁神开窍,化痰清热开窍,清肝泻火开窍,开窍醒神豁痰,,
诊断痫病最有意义的实验室检查是(    )。,A,脑电图,脑血流图,心电图,颅脑,,
阳痫与阴痫主要区别在于(    )。,B,寒热不同,虚实各异,表里不—,阴阳有别,,
清开灵注射液用于治疗痫病(    )。,C,痰火扰神型,风痰闭阻型,发作期阳痫,发作期阴痫,,
开窍醒神，温化痰涎用于何型痫病?,C,阳痫,痰火扰神,阴痫,风痰闭阻,,
痫病头部刺痛，精神恍惚，头晕心烦，舌紫暗，脉弦细，治宜(    )。,C,活血化瘀，扶正祛邪,补气化瘀，定风止痛,活血化瘀，通窍活络,,,
患者痫病频作，神思恍惚，面色晦暗，头晕目眩，两目干涩，腰膝酸软，舌红苔薄黄，脉沉细而数，治宜选用(    )。,A,定痫丸,温胆汤,六味地黄丸,,,
癫病病名最早见于(    )。,A,《内经》,《难经》,《千金方》,《证治准绳》,,
(    )医家首创用活血化瘀法治疗癫病与狂病。,D,王肯堂,张仲景,张景岳,王清任,,
癫病的发病(    )脏最重要。,C,肾,肝,心,脾,,
癫病的治疗原则是(    )。,A,理气解郁，畅达神机,开窍醒神，温化痰涎,清肝泻火，化痰开窍,补益心脾，理气化痰,,
癫病情绪不宁，善怒易哭，善太息，胸胁胀闷，舌淡苔薄白，脉弦。证属(    )。,C,痰火内结,肝郁气滞,气阴两虚,,,
癫病的临床共有特征为(    )。,A,精神失常,精神抑郁,沉默不语,记忆力差,,
症见癫病神志恍惚，多言善惊，躁扰不宁，口干舌燥，面红形瘦，舌红少苔，脉细数，治宜(    )。,A,清心宁神,滋阴潜阳,安神定志,,,
提出狂病多因于火，治以清火为主的著作是(    )。,D,《内经》,《医林改错》,《难经》,《景岳全书》,,
首创狂病“气血凝滞说”的医家是(    )。,C,明·王肯堂,明·张景岳,清·王清任,近·张锡纯,,
狂病病位在心脑，与(    )脏腑功能失调关系密切。,C,肝脾胃,肺脾肾,肝胆脾,心肝肾,,
清泄肝火，涤痰醒神法适用于(    )病证。,B,癞病痰火郁结型,狂病痰火扰神型,痫病痰火扰神型,狂病痰结血瘀型,,
通窍活血汤加味治疗何类型狂病?,B,痰结血瘀,瘀血阻窍,痰火扰神,火盛伤阴,,
狂病日久，势减而略疲惫，多言善惊，时而烦躁，形瘦面红，舌红，脉细数，宜用(    )。,B,二阴煎,生铁落饮,控涎丹,,,
育阴潜阳、交通心肾适用于何型狂病?,A,心肾失调,火盛伤阴,痰结血瘀,痰火扰神,,
痰结血瘀型狂病治宜(    )。,D,清泄肝火，涤痰醒神,理气解郁，化痰醒神,活血化瘀，通络开窍,豁痰化瘀开窍,,
狂病预防调摄的关键是(    )。,B,调饮食,调情志,防意外,慎起居,,
胃痛寒邪客胃型宜选用(    )。,D,保和丸,黄芪建中汤,。柴胡疏肝散,良附丸,,
柴胡疏肝散治疗胃痛的适应证是(    )。,B,肝胃郁热证,肝气犯胃证,。胃阴亏虚证,瘀血停滞证,,
《千金要方》中有九种心痛，实际是指(    )。,B,胸痹,胃痛,腹痛,痞证,,
下列(    )不是脾胃湿热胃痛的主症。,B,胸脘痞闷,脘中灼热,口粘口苦,大便干燥,,
寒邪客胃型胃痛的主要临床特征是(    )。,A,胃痛暴作,胃痛胀满,胃脘胀闷,胃脘灼热,,
下列(    )不是肝气犯胃型胃痛的主症。,A,胃痛隐隐,攻撑作痛,脘痛连胁,嗳气频繁,,
下列(    )不足脾胃虚寒型胃痛的主症。,B,胃痛隐隐,口燥咽干,喜温喜按,空腹痛甚,,
治疗脾胃虚寒型胃痛的代表方剂是(    )。,A,黄芪建中汤,柴胡疏肝散,归脾汤,四神丸,,
患者胃脘疼痛，得食更甚，嗳腐吞酸，舌苔厚腻，脉滑有力证属(    )型胃痛。,D,寒邪客胃,肝气犯胃,瘀血停滞,饮食停滞,,
胃痛的发生与下列(    )脏器无关。,C,肝,胆,心,脾,,
瘀血停滞型胃痛的临床特征可见(    )。,B,胃脘胀痛,胃痛如针刺,胃脘灼热疼痛,胃痛隐隐,,
诊断胃阴亏虚型胃痛主要症状是(    )。,B,胃痛隐隐,胃脘隐隐灼痛,胃脘灼热疼痛,胃脘胀痛,,
患者胃脘灼痛，喜冷恶热，泛酸嘈杂，口干口苦，舌红少苔，脉弦数选何法治疗(    )。,C,养阴益胃，和中止痛,清热化湿，理气和中,疏肝理气，泄热和中,活血化瘀，理气止痛,,
治疗肝胃郁热型胃痛的最佳选方是(    )。,A,丹栀逍遥散合左金丸    清中汤,益胃汤合芍药甘草汤,柴胡疏肝散,,,
治疗瘀血停滞型胃痛的最佳方药是(    )。,B,血府逐瘀汤,失笑散合丹参饮,膈下逐瘀汤,柴胡疏肝散,,
胃痞与(    )脏器有关。,C,心胃,胃肝胆,胃肝脾,肺胃,,
下列(    )不是胃痞的主证。,C,胃脘痞满,满闷不舒,按之痛,视之无胀大之形,,
胃脘痞满闷塞，胸闷胀满不舒，心烦易怒，喜太息，恶心嗳气，大便不爽，苔薄白，脉弦，此属(    )病证。,D,肝气犯胃型胃痛,肝胃郁热型胃痛,脾胃湿热型胃痛,肝郁气滞型胃痛,,
胃脘痞满，灼热急迫，按之满甚，心中烦热，咽干口燥，渴喜饮冷，身热汗出，大便干结，舌红苔黄，脉滑数，治当何法?,A,泻热消痞，理气开结,消食导滞，行气消痞,疏肝解郁，理气消痞,燥湿化痰，理气宽中,,
某，女性，45岁，胃脘痞闷5年，经治未愈。现仍胃脘痞闷不舒，时轻时重，喜食热食，按胃部症状减轻，无食欲感，身倦乏力，大便溏薄，舌淡苔薄白，脉弱。治疗主方为(    )。,B,附子理中汤,补中益气汤,归脾汤,四神丸,,
