Question,answer,A,B,C,D,E,
胃痞的基本病机，下列(    )是对的。,A,脾胃功能失调，升降失司，胃气壅塞,脾胃功能失调，肝气郁结,肺气虚、外邪内陷,胸阳痹阻,,
痞满的辨证要点是(    )。,B,辨表里寒热,辨寒热虚实,辨寒热阴阳,辨真假虚实,,
痞满的治疗原则是(    )。,A,调理脾胃，理气消痞,调理脾胃，温中补虚,调理脾胃，行气宽胸,调理脾胃，温通心阳,,
痞满实证的治疗原则，下列(    )是错误的。,D,泻热,消食,化痰,泻肺,,
饮食停滞型胃痞证，选用的方剂是(    )。,D,越鞠丸,大黄黄连泻心汤,柴胡疏肝散,保和丸,,
二陈汤合平胃散适用于(    )证。,A,痰湿内阻型痞满,痰湿中阻型眩晕,饮邪上犯型心悸,痰湿阻肺型咳嗽,,
胃痞饮食停滞证，可见(    )。,C,胃脘痞满，按之尤甚,嗳腐吞酸，恶心呕吐,两者均可,两者均无,,
《伤寒论》创新治痞满祖方为(    )。,A,诸泻心汤,小陷胸汤,大陷胸汤,小柴胡汤,,
治疗虚痞重在(    )。,C,调理肠胃,益胃柔肝,补益脾胃,补气和胃,,
大黄黄连泻心汤的适应症是(    )。,B,痰湿内阻痞证,邪热内陷痞证,痰湿化热痞证,饮食停滞痞证,,
腹痛的治疗大法是(    )。,D,疏肝为大法,补气为大法,止痛为大法,以通为大法,,
寒邪内阻型腹痛的治法是(    )。,A,温里散寒,甘温益气,温中健脾,温中补虚,,
治疗中虚脏寒腹痛的选方是(    )。,C,理中汤,大建中汤,小建中汤,香砂六君子,,
某女，36岁，腹部胀痛2天，痞满拒按，得热痛增，遇冷则减大便秘结，小便短赤，苔黄燥，脉滑数。治疗应选(    )。,A,通腑泻热，行气导滞,消食导滞,疏肝泄热，通便,清热利湿,,
饮食停滞型腹痛的治法是(    )。,D,疏肝和胃,健脾和胃,益气和胃,消食导滞,,
某男，26岁，因情志不舒而发腹痛，胀满不舒，痛引两胁，攻窜不定，得暖气矢气则舒，苔薄白，脉弦。治疗应选(    )为最佳。,D,越鞠丸,枳实消导丸,香砂六君子,柴胡疏肝散,,
瘀血阻滞型腹痛的首选方是（   ）。,D,膈下逐瘀汤,身痛逐瘀汤,血府逐瘀汤,少腹逐瘀汤,,
治疗各型腹痛的首选方，下列(    )是错误的。,D,中虚脏寒型用小建中汤,饮食停滞型用枳实消导丸,寒邪内阻型用良附丸合正气天香散,湿热积滞型用大黄黄连泻心汤,,
治疗“腹中寒气，雷鸣切痛，胸胁逆满，呕吐”的附子粳米汤出自(    )。,A,《金匮要略》,《诸病源候论》,《医学发明》,《伤寒论》,,
下列(    )病不属于腹痛的范围。,D,急性胰腺炎,胃肠痉挛,不完全性肠梗阻,冠心病,,
“饮食自倍，肠胃乃伤。”出自(    )。,D,《证治汇补·腹痛》,《金匮要略》,《诸病源候论》,《素问·痹论篇》,,
瘀血腹痛的特点是(    )。,C,腹部胀痛，得热痛剧,腹痛急起，得温痛减,腹痛如针刺，痛处固定拒按,脘腹疼痛，痛引两胁,,
中虚脏寒腹痛的特点是(    )。,B,脘腹胀痛，疼痛拒按,腹痛绵绵，痛时喜按,脘腹疼痛，胀满不舒,腹痛急起，剧烈拘急,,
湿热积滞型腹痛的脉象为(    )。,B,沉紧,滑数,弦,细涩,,
瘀血阻滞型腹痛的舌质为(    )。,A,舌紫暗或有瘀斑,舌质淡,舌质绛红,以上均是,,
湿热积滞腹痛的首选方是(    )。,B,小承气汤,大承气汤,大黄黄连泻心汤,龙胆泻肝汤,,
湿热积滞型腹痛的舌苔多见(    )。,D,苔厚腻,苔薄黄,苔黄,苔黄燥或苔黄腻,,
呕吐的基本病机是(    )。,B,中气不足，胃失所养,胃失和降，胃气上逆,肝失条达，横逆犯胃,气机阻滞，胃气上逆,,
呕吐与哪些脏器有关(    )。,B,肝胆胃,肝脾胃,脾胃肾,肝胆脾,,
呕吐的治疗原则是(    )。,A,和胃降逆止呕,补虚和胃,疏肝和胃,消食和胃,,
吐酸的基本病机为(    )。,D,胃热,胃寒,饮食停滞,肝气犯胃,,
痰饮内停型呕吐的病因是(    )。,B,外感湿邪,饮食所伤,六淫犯胃,病后体虚,,
肝气犯胃型呕吐的病机是(    )。,A,肝气犯胃，胃失和降,肝气犯胃，脾胃失和,肝气乘脾，脾胃虚弱,肝胃失调，升降失司,,
某患者突然呕吐，呕吐量多，呕吐物多酸腐臭秽，脉实有力，辨证属(    )。,B,虚证,实证,虚实挟杂证,以上均不是,,
胃阴不足型呕吐的治疗法则是(    )。,B,益气健脾，滋养胃阴,滋养胃阴，和胃降逆,健脾养胃，降逆止呕,滋养胃阴，养胃止呕,,
胃中虚寒的呕吐物为(    )。,B,呕吐少量粘液,泛吐清水,吐酸水绿水,以上均可见,,
脾胃虚弱型呕吐的治法是(    )。,C,健脾益胃，和胃降逆,补益脾胃，降逆止呕,益气健脾，和胃降逆,滋养脾胃，和胃止呕,,
四逆散合半夏厚朴汤可用于治疗(    )。,C,痰饮内停型呕吐,胃阴不足型呕吐,肝气犯胃型呕吐,饮食停滞型呕吐,,
外邪犯胃型呕吐可选用(    )。,B,小柴胡汤,藿香正气散,小半夏汤,保和丸,,
保和丸适用于何型呕吐?,B,外邪犯胃型,饮食停滞型,肝气犯胃型,痰饮内停型,,
某女，45岁，呕吐吞酸数天，伴胸胁胀满，烦闷不舒，嗳气频作，遇心情不舒则加重，舌苔薄白，脉弦，诊断为(    )呕吐。,B,饮食停滞型,肝胆郁热型,肝气犯胃型,肝阴不足型,,
治疗脾胃虚弱呕吐可选(    )。,B,旋覆代赭石汤,香砂六君子汤,小建中汤,理中汤,,
某女，呕吐反复发作月余，但呕吐量不多，时作干呕，饥而不欲食，舌红少津，脉细数，治疗宜选(    )为宜。,A,麦门冬汤,香砂六君子汤,小柴胡汤,小半夏汤,,
左金丸适用于(    )。,B,寒证吐酸,热证吐酸,胃虚嘈杂,胃热嘈杂,,
胃热嘈杂可选(    )。,B,左金丸,温胆汤,麦门冬汤,龙胆泻肝汤,,
吐酸，唾涎沫，喜热食，四肢不温，大便溏泄，舌淡苔白，迟，应选(    )。,B,温胃补虚，降逆制酸,温中散寒，降逆制酸,温中健脾，和胃制酸,舒肝健脾，降逆制酸,,
呃逆的主要病机是(    )。,C,肝气犯胃,肺气不宣,胃气上逆动膈,胃气阻滞,,
呃逆的病位主要在(    )。,B,胃,膈,肺,肝,,
寒型呃逆可见(    )。,A,呃声沉缓而有力,呃声洪亮有力,呃声时断时续，呃声低长,呃声响亮声频有力,,
寒型呃逆的治法是(    )。,A,温中散寒，降逆上呃,温补脾胃，和中降逆,温胃散寒,养胃降逆止呃,,
胃火上逆，腑气不通，痞满便秘者可选(    )。,B,竹叶石膏汤,小承气汤,凉膈散,大柴胡肠,,
胃火上逆型呃逆可用,C,小柴胡汤,小半夏汤,竹叶石膏汤,小承气汤,,
胃中寒冷型呃逆最佳选方是(    )。,B,旋复代赭石汤,丁香散,理中汤,吴茱萸汤,,
气机阻滞型呃逆可用(    )。,A,五磨饮子,柴胡疏肝散,小柴胡汤,小半夏汤,,
脾胃阳虚之呃逆治法是(    )。,D,温胃散寒，和中降逆,温补脾胃，和中止呕,温补脾胃，和中止呃,温补脾胃，和中降逆,,
理中汤治疗何型呃逆?,B,胃中寒冷,脾胃阳虚,胃阴不足,脾胃气虚,,
某女，呃逆10余天，呃声短促而不得续，伴口干咽燥，烦躁不安，大便干结，舌质红，苔少而干，脉细数，治疗可用(    )。,B,竹叶石膏汤,益胃汤,大补阴丸,麦门冬汤,,
某男，呃逆七天余，呃声低长无力，气不得续，脘腹不舒，喜温喜按，面色觥白，手足不温，食少便溏，舌质淡，苔薄白，脉细弱，治疗应选(    )。,A,理中汤,丁香散,金匮肾气丸,补中益气汤,,
气机阻滞型呃逆的治法是(    )。,B,舒肝和胃止呃,顺气解郁，降逆止呃,舒肝健脾和胃,理气和胃止呃,,
对危重病证中出现呃逆当如何处理?,B,和胃降逆止呃,急当救护胃气,补中益气止呃,以上均不是,,
呃声短促不得续，烦躁不安，腰膝酸软，五心烦热，脉细数，胃肾阴虚致者治疗用(    )。,C,麦门冬汤,益胃汤,大补阴丸,沙参麦冬汤,,
噎膈的病位在(    )。,D,胸膈,胃,肺,食道,,
噎膈属(    )脏腑所主。,B,肝,胃,肺,脾,,
瘀血内结型噎膈的治法是(    )。,B,破结行瘀，疏肝和胃,破结行瘀，滋阴养血,破结行瘀，宽胸宣肺,破结行瘀，消导和胃,,
津亏热结型噎膈的治法是(    )。,A,养阴生津，泻热散结,养阴生津，破结行瘀,养阴生津，宣肺理气,养阴生津，顺气散结,,
噎膈瘀血内结型的选方是(    )。,C,血府逐瘀汤,膈下逐瘀汤,通幽汤,沙参麦冬汤,,
沙参麦冬汤适用于(    )型噎膈。,A,津亏热结,气阴两虚,痰气交阻,气虚阳微,,
痰气交阻型噎膈的治法是(    )。,B,破结行瘀，化痰散结,开郁化痰，润燥降气,破结行瘀，滋阴养血,理气泻热散结,,
痰气交阻型噎膈的选方用(    )。,C,半夏厚朴汤,二陈汤,启膈散,小半夏汤,,
“饮食不下，膈塞不通，邪在胃脘”出自(    )。,B,《太平圣惠方·第五十卷》,《灵枢·四时气》,《医学心悟·噎膈》,《临证指南医案》,,
气虚阳虚型噎膈的治法是(    )。,A,温补脾肾，益气回阳,补益中气,益气回阳，降气和胃,益气和胃,,
反胃的治法是(    )。,B,温补脾肾，降气和胃,温中健脾，降气和胃,疏肝健脾，降气和胃,益气和胃,,
呕吐与进食有明显关系的病证是(    )。,C,呕吐,呃逆,反胃,噎膈,,
反胃的症状特点是(    )。,B,食入即吐,朝食暮吐，暮食朝吐,恶心即吐,气郁即吐,,
某男，34岁，呕吐月余，朝食暮吐，暮食朝吐，吐前胃脘剧吐出物为不消化食物，伴神疲乏力，面色少华，便溏，舌淡，苔薄白细缓。治疗应选何方?,B,理中汤,丁香透膈散,小半夏汤,吴茱萸汤,,
进食梗阻，食不得下，滴水难进，伴胸膈疼痛，面色暗黑，形体消瘦，时而呕吐，吐物为咖啡色，便干难解，舌质暗有瘀斑，苔白脉涩，治疗当选(    )。,B,沙参麦冬汤,通幽汤,启膈散,十全大补汤,,
泄泻发生的关键因素是(    )。,D,脾失健运,脾肾失运,大肠传导失常,脾虚湿盛,,
泄泻的治疗原则是(    )。,C,温补脾肾,涩肠止泻,运脾祛湿,抑肝健脾,,
藿香正气散治疗泄泻适用于(    )。,B,脾虚泄泻,寒湿泄泻,伤食泄泻,湿热泄泻,,
湿热泄泻的最佳选方是(    )。,D,小承气汤,保和丸,六一散,葛根芩连汤,,
湿热泄泻的治法是(    )。,B,清暑利湿,清肠利湿,清热化湿,清热止泻,,
黎明前脐腹作痛，肠鸣即泻，泻后即安，泻下有不消化食物，小腹冷痛，形寒肢冷，腰膝酸软，舌淡苔白，脉细弱，治疗可用(    )。,B,附子理中汤,四神丸,参苓白术散,藿香正气散,,
导致泄泻发生的主要因素是(    )。,D,寒,热     ,暑,湿,,
胸胁胀闷，嗳气食少，抑郁恼怒或紧张则腹痛泄泻，舌淡红，脉弦，治疗可选(    )。,C,逍遥散,柴胡疏肝散,痛泻要方,六磨汤,,
寒湿泄泻可选用(    )。,D,正气天香散,良附丸,四神丸,藿香正气散,,
泄泻清稀，甚则如水样，腹痛肠鸣，脘闷食少，恶寒发热身痛，苔薄白，脉浮。治疗选(    )为宜。,B,藿香正气散,荆防败毒散,胃苓汤,理中丸,,
夏暑期间泄泻腹痛，泻下急迫，肛门灼热，身热头重、烦渴自汗，小便短赤，脉濡数。治疗当选(    )。,B,葛根芩连汤,新加香薷饮合六—,银翘解毒散,芍药甘草汤,,
腹痛泄泻，泻而不畅，臭如败卵，伴有不消化食物，脘腹胀满，泻而不畅，嗳腐酸臭，不思饮食，脉滑。治疗宜用(    )。,B,保和丸,枳实导滞丸,小承气汤,越鞠保和丸,,
脾虚泄泻久治不愈而见腹中冷痛，喜温喜按，手足不温，选用(．  )治疗最佳。,B,参苓白术散,附子理中汤,补中益气汤,四神丸,,
补中益气汤适用于(    )。,B,脾虚泄泻,久泻中气下陷,久泻肾阳不足,以上均可,,
治疗泄泻提出“通因通用”法的是(    )。,C,《素问·宣明五气篇》,《医宗必读·泄泻》,《金匮要略·呕吐哕下利病脉证治》,《素问·举痛论》,,
便秘的病位在(    )。,C,脾,小肠,大肠,胃,,
阴寒凝滞型便秘的治法是(    )。,C,温阳润肠,温脾润肠,温里散寒，通便导滞,温肾润肠,,
血虚便秘选(    )治疗为宜。,B,当归羊肉汤,润肠丸,麻子仁丸,四物汤,,
大便艰涩，排出困难，小便清长，面色觥白，四肢不温，喜热怕冷，腹中冷痛，舌淡苔白，脉沉迟，此便秘属(    )。,C,气虚便秘,血虚便秘,阳虚便秘,气秘,,
麻子仁丸治便秘的作用是(    )。,C,补气润肠，健脾升阳,养血润肠,泻热导滞，润肠通便,滋阴润肠通便,,
气机郁滞型便秘选(    )治疗最佳。,A,六磨汤,龙胆泻肝汤,柴胡疏肝散,小承气汤,,
大黄附子汤适用于(    )便秘。,C,气虚便秘,阳虚便秘,阴寒积滞,气机阻滞,,
血虚便秘的治法是(    )。,B,滋阴养血通便,养血润肠,补气养血通便,温肾养血润肠,,
阳虚便秘的最佳选方是(    )。,B,金匮肾气丸,济川煎,理中汤,小建中汤,,
阳虚便秘的治法是(    )。,B,益气温脾通便,温阳润肠,补气润肠,补气滋阴润肠,,
阴虚便秘的治法是(    )。,B,补气滋阴，润肠通便,滋阴润肠通便,养血润肠通便,益气养血通便,,
阴虚便秘的最佳选方是(    )。,D,沙参麦冬汤,益胃汤,六味地黄汤,增液汤,,
气机阻滞便秘的治法是(    )。,B,疏肝顺气通便,顺气导滞,降气调脾导滞,疏肝健脾导滞,,
肠胃积滞便秘服药后大便已通但通而不爽，为通腑缓下，以免再秘，选(    )最佳。,B,六磨汤,青麟丸,润肠丸,麻仁滋脾丸,,
血虚便秘经治疗后血虚已复，大便仍干燥者，可选（  ）为最佳。,B,润肠丸,五仁丸,麻仁滋脾丸,六味地黄丸,,
蛔虫喜寄生在(    )。,B,大肠,小肠,胆,胃,,
引起蛔虫病的病因是(    )。,A,误食沾有蛔虫卵的生冷蔬菜、瓜果,脾胃虚弱,过食寒凉药物,食腐败之食物,,
乌梅丸适用于蛔虫病的(    )较好。,A,腹痛不甚或腹不痛者,驱虫后，脾胃运化未恢复者,蛔虫钻入阑门者,,,
蛔虫病，病情轻者宜选(    )。,B,乌梅丸,化虫丸,香砂六君子汤,小承气汤,,
蛔虫病，病情轻者的治法是(    )。,B,以安蛔为主,以驱蛔为主,以泻下为主,调理脾胃为主,,
患蛔虫病已久，面黄肌瘦，脐周痛，作止无定，大便中蛔虫，不思饮食，喜食煤渣。治疗时选(    )为宜。,C,化虫丸,乌梅丸,香砂六君子汤,附子理中丸,,
患者腹痛剧烈，恶心欲吐，呕吐物中带有蛔虫，素有吐蛔病史，睡中磨齿流涎。治疗当选(    )。,B,驱蛔，健运脾胃,安蛔，健运脾胃,健运脾胃,以上均可,,
预防蛔虫病的措施是(    )。,B,增强体质,养成清洁卫生的习惯,常服驱蛔药,以上均是,,
粪毒犯肤型钩虫病的治法是(    )。,B,杀虫宣肺,杀虫止痒,杀虫健脾,杀虫补气,,
粪毒犯肤型钩虫病选(    )治疗为宜。,B,乌梅丸,桃叶泄毒汤,黄病绛矾丸,止嗽散,,
止嗽散用于(    )钩虫病。,C,脾虚湿滞型,气血两虚型,虫邪犯肺型,粪毒犯肤型,,
虫邪犯肺型钩虫病治法是(    )。,B,宣肺杀虫,宣肺化痰止咳,补肺健脾,补益气血止咳,,
患者面色萎黄而虚浮，善食易饥，食后腹胀，异嗜生米，神疲肢软，舌淡苔薄，脉濡。治疗选(    )为宜。,B,桃叶泄毒汤,黄病绛矾丸,八珍汤,补中益气汤,,
脾虚湿滞钩虫病的治法是(    )。,A,健脾燥湿，和中补血,补益气血,益气健脾燥湿,健脾燥湿杀虫,,
某患者颜面、肌肤苍白，面足浮肿，脘闷不舒，倦怠乏力，精神不振，心悸气短，舌质淡胖，脉弱，治疗当选(    )。,A,八珍汤加减,香砂六君子汤加减,人参归脾汤加减,桃叶泄毒汤加减,,
钩虫病气血两虚型的治法是(    )。,B,补中益气,补益气血,补气健脾,补气杀虫,,
绦虫病的高发区是(    )。,C,北方,南方,喜食生肉的地区,喜食烧烤者,,
治疗绦虫病选用(    )为宜。,A,槟榔,乌梅丸,桃叶泄毒汤,化虫丸,,
诊断黄疸必具的症状是(    )。,C,尿黄,面黄,目黄,身黄,,
患者身面黄无泽诊为(    )。,C,阴黄,黄胖,萎黄,黄疸,,
引起黄疽最主要的病邪是(    )。,B,痰湿之邪,湿浊之邪,痰浊之邪,寒饮之邪,,
阴黄的致病因素是(    )。,D,寒邪,湿热,水湿,寒湿,,
首先提出阴黄阳黄辨证论治的著作是(    )。,D,《外台秘要》,《诸病源候论》,《丹溪心法》,《卫生宝鉴》,,
“黄家所得，从湿得之”出自(    )。,B,《伤寒论》,。《金匮要略》,《丹溪心法》,《景岳全书》,,
《金匮要略》提出“黄疸”治法可用(    )。,A,利小便法,汗法,吐法,泻法,,
黄疸由湿邪所致，若湿从热化其治疗原则是(    )。,A,清热利湿,清热退黄,清热利胆,清热燥湿,,
阳黄热重于湿宜用的方剂是(    )。,A,茵陈蒿汤,茵陈五苓散,茵陈术附汤,尤胆泻肝汤，,,
急黄的致病因素是(    )。,A,湿热挟时邪疫毒,湿热内蕴、蒙闭心包,肝胆郁热阻滞,湿热熏蒸、湿遏热伏,,
阳黄的致病因素是(    )。,C,寒湿,湿浊,湿热,痰湿,,
患者身目发黄鲜明，右胁剧痛、发热、口苦咽干，舌红苔黄，脉弦滑数，辨证为(    )。,A,胆腑郁热型阳黄,湿重于热型阳黄,热重于湿型阳黄,寒湿阻遏型阴黄,,
黄疸由湿邪所致，若湿从寒化其治则是(    )。,C,温中燥湿,湿通中焦,温中化湿,温中健脾,,
患者身目发黄如橘皮，身热不扬，纳呆便溏，厌油腻，恶心呕吐，口粘不渴，小便不利，舌苔厚腻微黄，脉濡缓或脉弦滑，证属(    )。,A,湿重于热,热重于湿,胆腑郁热,寒湿阻遏,,
黄疸病久在治疗上应注重(    )。,C,补气养血,攻补兼施,扶助正气,先补后攻,,
患者面目及肌肤发黄，黄色较淡，面色无华，唇淡，心悸气短，倦怠乏力，舌淡苔白脉细弱，辨证为(    )。,C,脾虚湿郁型黄疸,心脾两虚型心悸,脾虚血亏型黄疸,脾胃虚弱型萎黄,,
脾虚血亏型阴黄选用的方剂是(    )。,B,归脾汤,小建中汤,参苓白术散,六君子汤,,
患者身目俱黄，黄色较淡，食欲不振，心悸气短，倦怠乏力，便溏，舌淡苔白，脉濡细，可辨证为(    )。,A,脾虚湿郁型黄疽,脾虚血亏型阴黄,寒湿阻遏型阴黄,气血亏虚型萎黄,,
脾虚湿郁型阴黄选用方药是(    )。,B,归脾汤,六君子加茵陈、柴胡,茵陈五苓散,黄芪建中汤,,
下列(    )不是胁痛的病理因素。,D,气滞,血瘀,湿热蕴结,痰阻中焦,,
《内经》明确指出了胁痛的发生主要是(    )。,A,肝胆病变,肝胃病变,脾胃病变,经络病变,,
胁肋刺痛固定不移、拒按，舌质紫暗，脉沉弦，可选用的方剂是(    )。,C,膈下逐瘀汤,金铃子散合失笑散,血府逐瘀汤,身痛逐瘀汤,,
治疗肝阴不足的胁痛可用养阴柔肝法，著名的方剂是(    )。,A,一贯煎,六味地黄丸,滋水清肝饮,化肝煎,,
胁痛肝气郁结型的治法(    )。,B,理气通络,疏肝理气,理气柔肝,疏肝通络，,,
患者胁肋痛走窜不定，情志不舒则痛增，善太息，苔薄白，脉弦，辨证为(    )。,A,肝气郁结胁痛,血瘀阻络胁痛,肝气犯胃胃痛,肝胆气郁胆胀,,
胁痛虚证的治疗原则是(    )。,A,滋阴养血柔肝,补肝益气通络,疏肝健脾和胃,温经养血疏肝,,
患者胁肋胀痛拒按或引及肩部伴脘闷纳呆，恶心呕吐，厌油腻，口干口苦或有黄疸，舌苔黄腻，脉弦滑，可辨证为(    )。,B,湿重于热型黄疸,湿热蕴结型胁痛,热重于湿型黄疸,肝胆湿热型胆胀,,
湿热蕴结型胁痛选用的方剂是(    )。,B,茵陈蒿汤,龙胆泻肝汤,茵陈四苓汤,柴胡疏肝散,,
血瘀阻络型胁痛的治法是(    )。,B,疏肝理气化瘀,活血化瘀、理气通络,活血化瘀、疏肝理气,理气活血,,
最早记载胆胀病名的著作是(    )。,A,《内经》,《伤寒杂病论》,《临证指南》,《柳州医话》,,
患者右胁灼热疼痛，口苦咽干，面红目赤，便秘、溲短赤，心烦失眠，舌红，苔黄厚而干，脉弦数，辨证为(    )。,B,湿热蕴结胁痛,胆腑郁热型胆胀,胆腑郁热型黄疸,肝胆气郁型胆胀,,
肝胆气郁型胆胀和肝气郁结型胁痛均可选用(    )。,A,柴胡疏肝散,金铃子散合失笑散,清胆汤,五磨子饮,,
右胁刺痛，痛处固定，面色晦暗，口干口苦，舌质紫暗，脉弦细涩，选用的方药是(    )。,B,血府逐瘀汤,四逆散合失笑散,身痛逐瘀汤,膈下逐瘀汤,,
胆腑郁热型胆胀治疗方剂是(    )。,C,龙胆泻肝汤,大柴胡汤,清胆汤,茵陈蒿汤,,
患者右胁隐痛，有灼热感，口燥咽干，急燥易怒，胸中烦热，头晕目眩，午后低热，舌红少苔，脉细数辨证为(    )。,B,肝阴不足型胁痛,阴虚郁滞型胆胀,阳虚郁滞型胆胀,脾虚血亏型阴黄,,
患者右胁隐痛，时作时止，呕吐清水畏寒肢冷，神疲乏力，气短懒言，舌淡苔白，脉弦弱无力辨证为(    )。,A,阳虚郁滞型胆胀,阴虚郁滞型胆胀,脾虚血亏型阴黄,寒湿阻遏型阴黄,,
温阳益气，疏肝利胆法可适用于(    )。,C,脾虚血亏型阴黄,肝气郁滞型胁痛,阳虚郁滞型胆胀,气滞血瘀型胆胀,,
胆胀阳虚郁滞的治疗方药是(    )。,B,一贯煎,理中汤加味,四逆散,大建中汤,,
胆胀气滞血瘀的治疗法则是(    )。,B,理气活血、通络止痛,疏肝利胆、理气活血,疏肝理气、活血化瘀,活血化瘀、理气解郁,,
下列哪项不是鼓胀的病因(    )。,B,情志所伤,外感六淫,酒食不节,黄疽积聚日久,,
鼓胀的临床主症(    )是错误的。,D,腹胀大如鼓,皮色苍黄,脉络暴露,腰以下浮肿,,
最早记载鼓胀病证的著作是(    )。,B,《肘后备急方》,《内经》,《金匮要略》,《诸病源候论》,,
鼓胀气滞湿阻的治疗法则是(    )。,A,疏肝理气  健脾利水,疏肝解郁  燥湿健脾,理气解郁  健脾利水,疏肝理气  健脾化湿,,
