Question,answer,A,B,C,D,E,
积聚之名首见于(    )。,C,《景岳全书》,《医宗必读·积聚》,《灵枢·五变》,《素问》,,
对积与聚作了明确区别的医籍是(    )。,B,《内经》,《难经》,《金匮要略》,《证治准绳》,,
聚证的临床特证不包括(    )。,D,腹中气聚,攻窜胀痛,时作时止,可扪及包块,,
积聚的病位主要在(    )。,D,肝、肾,心、脾,心、肾,肝、脾,,
聚证主要病变为(    )。,A,气滞,血瘀,痰结,血虚,,
食浊阻滞聚证治疗应当用(    )。,B,越鞠丸,六磨汤,沉香化滞丸,木香顺气散,,
症见：腹中气聚，攻窜胀痛，时聚时散，苔白脉弦，治法为(    )。,C,理气化浊，导滞通腑,理气活血，通络消积,疏肝解郁，行气消聚,祛瘀活血，补益脾胃,,
积证的治疗应着重(    )。,D,调气,消积     软坚,活血,,,
积证初起，积块软而不坚，固着不移，胀痛并见，舌苔薄白，脉弦。治疗当用(    )。,B,隔下逐瘀汤,荆蓬煎丸,化积丸,木香顺气散,,
肝气郁滞聚证，经治攻窜胀痛之症缓解后，调理善后应选(    )。,C,左金丸,六君子汤,逍遥散,补中益气汤,,
首先区分外感发厥与内伤发厥的古典医籍是(    )。,C,《卫生宝鉴》,《诸病源候论》,《医学入门》,《金匮要略》,,
“暴厥者，不知与人言”出自(    )。,B,《景岳全书》,《素问·大奇论》,《诸病源候论》,《素问·厥论》,,
厥证发生的基本病机是(    )。,C,气虚血亏，不能荣养,气机逆乱，气血阴阳不能顺接,脾虚无力运化，痰湿内生,,,
厥证的主要治疗原则是(    )。,C,开窍化痰,益气回阳,醒神回厥,辟秽救逆,,
厥证辨证之关键是(    )。,A,辨虚实,辨脏腑,辨阴阳,辨气血,,
厥证与中风相鉴别时，主要区别为(    )。,D,诱发因素,病程长短,年龄大小,后遗症有无,,
因失血过多而发，突然昏厥，面色苍白口唇无华，四肢震颤，自汗肢冷，目陷口张，呼吸微弱，舌质淡，脉细数无力，应急服(    )。,A,独参汤,人参养营汤,四君子汤,四味回阳饮,,
瘿病一名首见于(    )。,B,《千金要方》,《诸病源候论》,《吕氏春秋》,《外台秘要》,,
最早记载用海藻昆布治疗瘿病的是(    )。,B,《千金要方》,《肘后方》,《圣济总录》,《吕氏春秋》,,
瘿病基本病理是(    )。,C,血行瘀滞，蕴结成瘿,脉络瘀阻，气血凝结,气滞痰凝，壅结颈前,气虚血少，运行无力,,
瘿病，肿块质地较硬，有结者属(    )。,D,气郁痰阻,肝火炽盛,心肝阴虚,痰结血瘀,,
颈前正中肿大，质软不痛，颈部觉胀，胸闷，喜太息，病情波动常与情志因素有关，苔薄白，脉弦，治疗可用(    )。,A,四海舒郁丸加减,海藻玉壶汤加减,天王补心丹加减,栀子清肝饮加减,,
心肝阴虚之瘿病，治疗当选用(    )。,B,栀子清肝汤,天王补心丹,一贯煎,归脾汤,,
实证之瘿病，应着重辨明(    )。,C,辨证候虚实,火热之有无,有无瘀血,是否兼有阴虚,,
颈前轻度肿大，柔软光滑，性情急躁，眼球突出，面烘热，口苦，舌红脉弦，治当(    )。,D,滋阴降火,清肝活血,理气清热,清肝泄火,,
偏头痛的病机是（   ）。,D,肾虚精亏,外邪上犯巅顶,瘀血阻滞,肝经风火上扰,,
外感头痛以（    ）病邪为主。,A,风邪,寒邪,热邪,湿邪,,
记载头痛是由“风痰相结，上冲于头”所致的著作是（      ）。,B,《丹溪心法》,《诸病源候论》,《伤寒论》,《普济方》,,
外感头痛总的治疗原则是（     ）。,D,解表散寒,祛湿通阳,通络止痛,祛邪活络,,
治疗风寒头痛方宜选取用（     ）。,A,川芎茶调散,羌活胜湿汤,参苏饮,加味香薷饮,,
症见头痛如裹，肢体困重，胸闷纳呆，便溏，苔白腻，脉濡。治法宜(    )。,C,化痰降逆,平肝潜阳,祛风胜湿,疏风散寒,,
内伤头痛与(    )脏器密切相关。,B,肝肺脾,肝脾肾,心肝肾,肺脾肾,,
头痛昏蒙沉重，胸脘满闷，呕恶痰涎，苔白腻，脉滑。证属(    )。,C,风寒头痛,风湿头痛,痰浊头痛,肝阳头痛,,
半夏白术天麻汤可治疗(    )。,D,肝阳头痛,风热头痛,风湿头痛,痰浊头痛,,
寒邪侵犯厥阴经，症见头巅顶痛，干呕吐涎，四肢厥冷，苔白，脉弦。治疗方剂是(    )。,D,川芎茶调散,羌活胜湿汤,芎芷石膏汤,吴茱萸汤，,,
瘀血头痛的疼痛特点是(    )。,B,隐痛绵绵,刺痛固定,头痛如裹,胀痛而眩,,
头痛在(    )情况下选用麻黄附子细辛汤。,D,肾阳不足,肾阴不足,外感风寒,肾阳不足兼外感寒邪,,
症见头痛而空，眩晕耳鸣，腰膝酸软，舌红少苔，脉沉细。治疗法则是(    )。,C,补益气血,健脾化痰,滋阴补肾,平肝潜阳,,
患者突然剧烈头痛，伴喷射样呕吐，肢厥，抽搐。应诊断为(    )。,B,头痛,真头痛,类中风,雷头风,,
治疗头痛如刺，固定不移，舌质紫暗，脉细涩，应选用的方剂是(    )。,C,桃红四物汤,血府逐瘀汤,通窍活血汤,身痛逐瘀汤,,
引起痰浊头痛的病因是(    )。,C,久病人络,湿邪外侵,脾虚湿停,肝郁化火,,
“风寒湿三气杂至，合而为痹”出自(    )。,A,《素问·痹论》,《中藏经·论痹》,《医宗必读·痹》,《症因脉治·热痹》,,
下列除(    )外，均为痹病的常见症状。,D,关节疼痛      ,肌肤麻木,关节屈伸不利,肢体痿软无力,,
患者肢体关节疼痛剧烈，不可屈伸，遇冷痛甚，得热痛减，苔薄白，脉弦紧。此属(    )。,B,行痹,痛痹,着痹,热痹,,
“治风先治血，血行风自灭”的治则，最适用于(    )。,A,行痹,热痹,痛痹,着痹,,
痛痹的治疗法则是(    )。,A,温经散寒，祛风除湿,除湿通络，祛风散寒,补肾祛寒，活血通络,祛风通络，散寒除湿,,
患者素有肢体关节疼痛，近日因天气变化，关节疼痛又发，其痛游走不定，关节肿大，伴恶风发热，苔薄黄，脉浮。方剂宜选用(    )。,C,薏苡仁汤,宣痹达经汤,桂枝芍药知母汤,白虎加桂枝汤,,
痹病的内在致病因素是(    )。,A,正气不足,感受风寒湿邪,情志不畅,饮食不节,,
除湿通络，祛风散寒法适用于(    )。,D,行痹,痛痹,wang痹,着痹,,
着痹的症状特点是(    )。,C,关节酸痛，游走不定,关节痛剧，遇冷痛甚,关节肿胀，疼痛重着,关节疼痛，僵硬变形,,
患者病久，肢体关节疼痛，屈伸不利，关节肿大、僵硬、变形，肌肉萎缩，舌质暗，脉细涩。治法为(    )。,B,益气养血，舒筋活络,补肾祛寒，活血通络,祛风散寒，化瘀通络,温经散寒，祛风除湿,,
薏苡仁汤用于治疗(    )。,C,行痹,痛痹,着痹,热痹,,
治疗痹病气血亏虚证，方宜选用(    )。,D,八珍汤,补肾祛寒治wang汤   宣痹达经汤,气血并补荣筋汤,,,
痹病的治疗大法为(    )。,D,祛风通络，散寒除湿,温经散寒，活血通络,益气养血，舒筋活络,祛邪活络，缓急止痛,,
症见关节红肿，疼痛剧烈，入夜尤甚，壮热烦渴，舌红少津，脉弦数者。证属(    )。,B,行痹邪气化热,热痹化火伤津,热痹湿热胜,wang痹,,
痿病与痹病的鉴别要点是(    )。,A,肢体关节痛与不痛,肢体活动自如与否,肌肉是否萎缩,肢体是否麻木,,
痉病的病位在(    )。,C,皮毛,肌肉,筋脉,筋骨,,
痉病与痫病的共同症状是(    )。,B,突然仆倒,四肢抽搐,昏不识人,忽作忽止,,
痉病的基本病机为(    )。,A,筋脉失养而挛急,肢体筋脉拘急失养,肌肉筋脉失养,筋脉肌肉失养失控,,
痉病邪壅经洛，若寒甚无汗，治宜(    )。,D,活血通络,益气养血,平肝熄风,解肌发汗,,
痉病之邪壅经络，若风邪甚，项背强直，发热不恶寒，头痛汗出，苔薄白，脉细者。方宜选用(    )。,D,葛根汤,白虎加桂枝汤,羌活胜湿汤,瓜蒌桂枝汤,,
治疗痉病虚证宜(    )。,B,益气化瘀,滋阴养血,养阴清热,和营生津,,
症见头痛如刺，项背强直，形瘦神疲，四肢抽搐，舌质紫暗，脉细涩。治法为(    )。,C,祛风散寒，化湿通络,益气补血，缓急止痉,益气化瘀，活络止痉,化痰通络，熄风止痉,,
羚麻白虎汤用于何型痉病(    )。,C,邪壅经络,热甚发痉,温热致痉,瘀血内阻,,
痉病的治疗大法是(    )。,A,祛邪扶正,舒筋解痉,扶正益损,益气化瘀,,
患者发热胸闷，心烦急躁，口噤蚧齿，项背强急，角弓反张，腹胀便秘，苔黄腻，脉弦数。证属(    )。,C,温热致痉,邪壅经络型痉病,热甚发痉,瘀血内阻型痉病,,
患者产后失血，四肢抽搐，项背强急，头晕目眩，自汗气短，苔薄少津，脉沉细。治疗的主方为(    )。,C,羌活胜湿汤,大定风珠汤,圣愈汤,增液承气汤,,
三仁汤所治痉病其病因是(’    )。,B,风寒湿邪壅阻于经,湿热之邪留滞于络,外感火热之邪,情志过激内生肝火,,
温热致痉的治法为(    )。,B,泄热存阴，增液柔筋,清热透络，镇痉止抽,清热化湿，通络和营,滋阴潜阳，熄风止痉,,
痿病与(    )脏腑密切相关。,B,肝脾肺胃,肝肾肺胃,肝脾肾胃,肝脾肺肾,,
下列(    )不是痿病的病因。,A,外感风寒,肺热伤津,脾胃亏虚,肝肾亏损,,
患者发热数日，热退后突然出现下肢软弱无力，行走不便，伴咽干口渴，呛咳阵阵，尿黄便干，舌红少津，脉细数。此属(    )。,B,痿病湿热浸淫证,痿病肺热津伤证,痿病脾胃亏虚证,痿病肝肾亏损证,,
痿病日久可见(    )。,C,肢体疼痛,关节变形,肌肉萎缩,半身不遂,,
痿病重症，若出现呼吸困难，吞咽困难，为(    )脏气极虚的表现。,A,肺脾,肝肾,脾肾    0脾胃,,,
痿病治疗中应注意的环节是(    )。,A,慎用风药,慎用苦寒之品,慎用辛温之品,慎用滋阴药,,
关于痿病脾胃亏虚证的病因，(    )说法不正确。,D,素体脾胃虚弱,饮食不节脾胃受损,久病成虚,脾虚生湿,,
痿病的病位在(    )。,A,肌肉筋脉,肢体关节,筋脉,肌肉筋骨,,
治痿“泻南方，补北方”是指(    )。,B,调理脾胃,滋阴清热,补益肝肾,清热润肺,,
痿病不具备下列(    )症状。,D,肌肉萎削,手不能握物,足不能任地,关节疼痛,,
治疗痿病湿热浸淫证的方剂是(    )。,A,加味二妙散,薏苡仁汤,羌活胜湿汤,参苓白术散,,
肢体痿软无力日重，纳呆便溏，神疲乏力，面浮不华，舌淡，脉沉细。治法为(    )。,B,清热润肺,健脾益气,补益肝肾,清热燥湿,,
参苓白术散用于痿病何证?,C,肺热津伤,湿热浸淫,脾胃亏虚,肝肾亏损,,
患者年迈，渐见四肢痿软无力，腰脊酸软，不能久立，眩晕耳鸣，舌红少苔，脉沉细数。治疗的最佳方剂是(    )。,D,金匮肾气丸,右归丸,参苓白术散,虎潜丸,,
颤震的根本病机是(    )。,B,肌肉筋脉失养,筋脉肌肉失养失控,筋脉失养而挛急,肢体筋脉拘急失养,,
颤震的特征性症状为(    )。,B,四肢抽搐,头摇肢颤,项背强急,肢体痿软,,
患者平素性情暴躁易怒，症见眩晕头胀，口干舌燥，头摇肢颤，不能自主，舌红苔薄黄，脉弦数。此属(    )。,A,颤震风阳内动证,颤震气血亏虚证  颤震髓海不足证,颤震痰热动风证,,,
颤震痰热动风的治法为(    )。,C,清热化痰,涤痰开窍,豁痰熄风,祛风化痰,,
下列除(    )症状外，均属髓海不足型颤震。,C,头晕目眩,头摇肢颤,胸闷泛恶,脉沉弦无力,,
滋生青阳汤用于颤震(    )。,A,风阳内动证,髓海不足证,气血亏虚证,痰热动风证,,
症头晕目眩，头摇肢颤，手不持物，胸闷泛恶，舌红苔黄腻，脉沉滑。治疗方剂是(    )。,B,补中益气汤,导痰汤,滋生青阳汤,龟鹿二仙丹,,
颤震的多发人群是(    )。,C,儿童,青少年,中老年男性,更年期妇女,,
颤震的病理性质为(    )。,B,实多虚少,虚多实少,热多寒少,寒多热少,,
颤震的辨证要点是辨(    )。,A,标本虚实,外感内伤,脏腑虚实,寒热虚实,,
患者年愈七旬，逐渐出现头晕目眩，耳鸣善忘；头摇肢颤，溲便不利，舌淡红苔薄白，脉沉无力。治法为(    )。,D,滋阴潜阳,豁痰熄风,补中益气,填精益髓,,
外感腰痛主要致病邪气为(    )。,C,风邪,寒邪,湿邪,热邪,,
不适用肾虚腰痛的方药是(    )。,D,左归丸,右归丸,青娥丸,四妙丸,,
症见腰部疼痛，痛处有热感，着热后痛剧，尿色黄赤，苔黄腻，脉濡数。方宜选用(    )。,B,渗湿汤          ,加味二妙散,左归丸,羌活胜湿汤,,
腰痛的发病关键在于(    )。,B,寒湿,肾虚,瘀血,湿热,,
瘀血腰痛的疼痛特点为(    )。,A,腰痛如刺，痛处固定,腰部冷痛，痛处喜温,腰髋驰痛，着热痛剧,腰痛酸软，喜揉喜按,,
腰部冷痛重着，转侧不利，静卧痛不减，痛处喜温，苔白腻，脉沉迟。证属(    )。,A,寒湿腰痛,湿热腰痛,瘀血腰痛,肾虚腰痛,,
腰痛实证总的治则为(    )。,C,补肾壮腰,散寒除湿,祛邪活络,活血化瘀,,
关于肾虚腰痛的病因，错误的是(    )。,B,久病体虚,久病入络,年老体衰,房室不节,,
清热利湿，舒筋活络法用于(    )。,B,肾虚腰痛,湿热腰痛,寒湿腰痛,瘀血腰痛,,
患者腰痛如锥刺，日轻夜重，不能转侧，痛处拒按，舌质紫暗，脉弦涩。治法为(    )。,A,活血化瘀，理气止痛,散寒除湿，温经通络,清热利湿，舒筋活络,补肾壮腰，调养气血,,
寒湿腰痛病久不愈，累伤正气，治宜扶正祛邪，方剂用(    )。,A,独活寄生汤,渗湿汤,右归丸,青娥丸,,
腰痛冷痛重着，痛处喜温，久病兼见腰膝酸软，苔白腻，脉沉无力。治法是(    )。,D,散寒除湿，温经通络,温补肾阳,温补肾阳为主，兼散寒除湿,散寒除湿为主，兼补肾阳,,
提出腰痛病因有“湿热、肾虚、瘀血、挫闪、痰积”的医著是,A,《丹溪心法》,《诸病源候论》,《金匮要略》,《千金要方》,,
湿热腰痛日久，兼有伤阴之象，可加(    )。,D,养阴清肺汤,一贯煎,麦门冬汤,二至丸,,
治疗瘀血腰痛的方剂是(    )。,C,血府逐瘀汤,通窍活血汤,身痛逐瘀汤,膈下逐瘀汤,,
肺癌发病的主要基础是(    )。,D,烟毒内侵,邪毒内侵,痰湿聚肺,正气内虚,,
早期肺癌获得治愈和远期疗效的可靠手段是(    )。,B,手术治疗,中药配合放化疗,放疗,化疗,,
肺癌咳嗽，咯黄白粘痰，胸闷胸痛，纳呆便溏，辨证为(    )证型。,D,气血瘀滞,气阴两虚,阴虚毒热,痰湿蕴肺,,
治疗气滞血瘀型肺癌的主方是(    )。,C,复元活血汤,柴胡疏肝散,血府逐瘀汤,逍遥散,,
提出以息贲丸治疗肺癌(肺积)的医家是(    )。,B,张景岳,李东垣,朱丹溪,张从正,,
治疗肺癌气阴两虚型的主方是(    )。,B,百合固金汤,生脉饮合百合固金汤,竹叶石膏汤,沙参麦冬饮,,
痞癖相当于现代医学的(    )。,D,胃癌,肝癌,大肠癌,肺癌,,
沙参麦冬汤合五味消毒饮治疗(    )型肺癌。,C,气血瘀滞,气阴两虚,阴虚毒热,痰湿蕴肺,,
把握肺癌扶正祛邪治则和合理遣方用药的关键是(    )。,A,辨邪正盛衰,辨病的早中晚期,辨证候虚实,辨标本缓急,,
肺癌患者最常见的早期症状是(    )。,B,胸痛,咳嗽,咯血,发热,,
肝癌的基本病机是(    )。,C,肝郁气滞,湿热内蕴,肝失疏泄,肝阴亏虚,,
肝癌患者突发剧烈腹痛和腹膜刺激征，提示(    )。,D,合并肝硬化腹水,消化道出血,肝昏迷,癌肿破溃,,
肝癌早期病理性质为(    )。,A,邪实为主,正虚为主,虚实夹杂,本虚邪实,,
肝癌合并血证，是因(    )。,B,肝火犯胃,肝不藏血脾不统血,血热妄行,气滞血瘀,,
肝癌的治疗应重视(    )的应用。,C,活血化瘀,清热利湿,疏肝理气,消积散结,,
肝癌气滞血瘀的主方是(    )。,B,调营饮,复元活血汤,桃仁承气汤,血府逐瘀汤,,
肝癌日久可转为(    )。,D,血证,昏迷,黄疸,鼓胀,,
肝癌后期出现阴阳两虚者，宜选用(    )。,A,金匮肾气丸,附子理中丸,薯蓣丸,济生肾生丸,,
肝阴亏虚型肝癌的主方是(    )。,D,补肝汤,茵陈蒿汤合四物汤,归脾汤,一贯煎,,
肝阴亏虚型肝癌，出现黄疸者，可合用(    )。,C,麻黄连翘赤小豆汤,茵陈五芩散,茵陈蒿汤,栀子柏皮汤,,
湿热聚毒型肝癌的主方是(    )。,A,茵陈蒿汤,五味消毒饮合沙参麦冬饮,五味消毒饮,甘露消毒丹,,
肝气郁结型肝癌，方用(    )。,B,四逆散,柴胡疏肝散,逍遥散,苏子降气汤,,
肝癌最常见的体征是(    )。,D,腹胀大,目黄,腹水,右胁部进行性肝肿大,,
胃癌的治疗中应始终重视(    )。,A,顾护胃气,活血化瘀,理气化痰,益气养血,,
患者胃脘刺痛拒按，痛有定处，可扪及腹内积块，腹满不食，黑便如柏油样，舌质紫暗，脉涩，治法宜(    )。,D,理气化痰,燥湿化痰,益气养血,活血化瘀，行气止痛,,
气血两虚型胃癌的疼痛特点是(    )。,C,胃脘胀痛,胃脘刺痛拒按,胃脘疼痛绵绵,胃脘隐痛，喜温喜按,,
治疗痰气交阻型胃癌的主方是(    )。,B,导痰汤,开郁至神汤,温胆汤,旋复代赭汤,,
患者病久，症见胃脘灼热疼痛，口干欲饮，胃脘嘈杂，食后即吐，纳差，形体消瘦，五心烦热，舌红少苔，脉细数，选方是(    )。,C,十全大补汤,理中汤,竹叶石膏汤,膈下逐瘀汤,,
痰湿凝滞型胃癌治法宜(    )。,B,理气化痰,燥湿化痰,清热化痰,化痰软坚,,
十全大补汤可用于胃癌的哪个证型?,C,脾胃虚寒,胃热伤阴,气血两亏,瘀血内结,,
下列(    )症状不属于胃癌痰湿凝滞型。,C,胃脘满闷,呕吐痰涎    ,大便干燥,痰核累累,,
患者中年男性，胃脘疼痛日久，呈隐痛，喜温喜按，腹部可触及肿块，朝食暮吐、宿食不化，泛吐清涎，面色觥白，肢肿便溏，舌淡胖，苔白滑，脉沉缓，此属(    )。,A,脾胃虚寒型胃癌,气血两亏型胃癌,痰气交阻型胃癌,痰湿凝滞型胃癌,,
用手术治疗肠癌的著作是(    )。,A,《后汉书》,《外科大成》,《素问》,《疡医大全》,,
大肠癌病机的中心环节是(    )。,D,血瘀,气滞,毒聚,湿热,,
大肠癌患者便血鲜红，大便不爽，肛门灼热，舌红苔黄腻，脉滑数，证属(    )。,A,湿热下注,瘀毒内阻,肝肾阴虚,脾肾阳虚,,
患者腹痛拒按，腹内结块，便脓血，色紫暗，里急后重，烦热口渴，舌质紫暗，脉涩，方选(    )。,C,少腹逐瘀汤,血府逐瘀汤,膈下逐瘀汤,四物汤,,
鉴别大肠癌与痔疮，最重要的是(    )。,D,有无便血,有无里急后重,有无肛门坠胀,是否伴全身症状,,
(    )不是大肠癌的病因。,B,外感湿热,久咳不已,饮食不节,情志所伤,,
八珍汤治疗肠癌，重用白芍、炙甘草的作用是(    )。,C,清热凉血,补气养血,缓急止痛,益气健脾,,
中晚期大肠癌患者及接受手术、放化疗后，其证候转化为(    )。,A,脾虚血亏、正虚邪衰,脾肾阳虚、正虚邪衰,肝肾阴虚、正虚邪衰,肺肾阴虚、正虚邪衰,,
(    )不是肝肾阴虚型大肠癌的主症。,B,大便带血,腹痛拒按,五心烦热,形瘦盗汗,,
脾肾阳虚之大肠癌，方选附子理中汤，若患者下利清谷，腰膝酸冷之症突出，可配伍的最佳选方为(    )。,C,小建中汤,金匮肾气丸,四神丸,济生肾气丸,,
大肠癌化疗后，症见倦怠乏力，厌食，可适当选用(    )中成药。,A,补益类,润肠通便类,清热解毒类,活血理气类，,,
大肠癌晚期患者，正虚邪实，治疗以补虚为主，兼以(    )。,D,清热解毒,清热利湿,清热化痰,解毒散结,,
大肠癌的好发人群为(    )。,A,中年以上男性,中年以上女性,老年男性,老年女性,,
白血病的特征表现为(    )。,A,白细胞系列异常,红细胞系列异常,血小板系列异常,全血系列异常,,
白血病最常见于(    )年龄段人群。,B,婴儿,儿童和青年,中年,老年,,
白血病的病位在(    )。,D,血与心,肝与脾,血与骨,血与骨髓,,
下列(    )不是急性白血病的临床特点。,A,预后好,起病急,发展迅速,易于复发,,
骨关节疼痛是白血病的。主要临床表现之一，其中以(    )部位的压痛为本病的特征。,D,肘关节,肱骨下段,胫骨下段,胸骨下段,,
治疗热邪炽盛型急性白血病的最佳选方是(    )。,C,犀角地黄汤,黄连解毒汤,清瘟败毒饮,白虎汤,,
患者壮热谵语，口渴，鼻衄，血色鲜红，舌红绛，苔黄，脉弦数，最佳选方是(    )。,B,清营汤,神犀丹,犀角地黄汤,清瘟败毒饮,,
(    )不是气阴两虚型白血病的主症。,A,壮热神昏,反复低热,自汗盗汗,舌淡脉细弱,,
瘀血内阻型慢性白血病的最佳选方是(    )。,B,少腹逐瘀汤,膈下逐瘀汤,四物汤,血府逐瘀汤,,
患者低热不退，夜热早凉，口腔糜烂，颈腋痰核肿大，口渴咽于，便血，舌红，脉细数，治宜凉血解毒，须配伍(    )。,C,滋补肝肾,益气养阴,养阴清热,清热止血,,
患者面色觥白，畏寒肢冷，皮肤紫斑，伴衄血，自汗便溏，舌淡边有齿痕，苔白润，脉弱无力，方选(    )。,A,右归丸,金匮肾气丸,济生肾气丸,附子理中丸,,
患者头晕目涩，口干舌燥，五心烦热，腰膝酸软，皮肤紫斑，舌红少苔，脉弦细，最佳选方为(    )。,B,六味地黄丸,麦味地黄丸,左归丸,鳖甲煎丸,,
下列(    )不是气血两亏型白血病的主症。,D,心悸气短,神疲体倦,出血色淡,畏寒肢冷,,
靛玉红为口服治疗慢性粒细胞性白血病的药物，是从(    )中药中提取的。,C,紫草,海藻,青黛,两面针,,
目前治疗白血病，主要采用(    )疗法。,D,针炙,手术,放疗,化疗,,