Question,A,B,C,D,E,answer,,,
动脉的脉象特点是,脉来一止，止有定数，良久方还,往来流利，应指圆滑，如盘走珠,脉形如豆，滑数有力，厥厥动摇,形细而行迟，往来艰涩不畅，脉势不匀,脉来数而时有一止，止无定数,C,,诊断学,单选
动脉是由下列哪项中的因素复合而成的,沉、细、软,浮、细、软,滑、数、短,沉、数、短,沉、实、大,C,,诊断学,单选
动则喘甚，呼多吸少，气短难续，息微声低，以深吸为快者，属于,痰热壅肺,痰湿阻肺,风寒袭肺,肺肾气虚,肺脾气虚,D,,诊断学,单选
煅淬时应注意的问题是,一次煅透，中间不得停火,反复进行几次,密闭条件下煅制,煅时不能搅拌,,B,,诊断学,单选
对“辨证”的下列认识哪项不对,是对疾病全过程特点的认识,是通过现象对疾病本质的认识,是医生的主观对客观的认识,是对疾病当前病理本质的认识,是对病位与病因病性的认识,A,,诊断学,单选
对病、证、症关系的描述有错误的是,病的全过程可出现不同的证,症是辨病与辨证的主要依据,同一证可见于不同的病中,“证”可见于“病”的全过程,“证”反映“病”的阶段特点,D,,诊断学,单选
对病情进行由浅入深、由粗到精的层层深入分析的辨证思维方,类比法,归纳法,演绎法,反证法,模糊判断法,C,,诊断学,单选
对喘与哮的认识错误的是,喘以气促呼吸困难为主,哮以喉间哮鸣声为主,喘属虚证，哮属实证,哮与喘常同时出现,喘不兼哮，哮必兼喘,C,,诊断学,单选
对寸口诊脉法的下述认识，哪项不对,始见于《内经》,由张仲景首创,详于《难经》,推广于王叔和,后世习惯运用,B,,诊断学,单选
对多种欠精确、非特征性的症状做综合分析以明确诊断的思维,类比法,归纳法,演绎法,反证法,模糊判断法,E,,诊断学,单选
对肺病最有诊断意义的是：(    ),少气,胸闷,咳喘,自汗,水肿,C,,诊断学,单选
对寒淫证的下述认识哪项不对,往往有感寒的原因可查,体内阳气未能御制寒邪,多属新病突起，病势较急,病机与寒的致病特点相关,其转归是必变为阳虚证,E,,诊断学,单选
对黄疸病人做实验观察并做早期记载的是,《伤寒杂病论》,《三因极一病证方论》,《诸病源候论》,《肘后备急方》,《察病指南》,D,,诊断学,单选
对里证的认识，下列哪项错误,里证多见内伤杂病,外感病一般无里证,里证多外邪‘直中’,情志为病多属里证,饮食劳伤多见里证,B,,诊断学,单选
对脾虚气陷证最有诊断意义的依据是：(    ),食少腹胀，大便稀溏,头晕目眩，舌淡脉细,身倦乏力，少气懒言,五更泄泻，便质清冷,脘腹重坠作胀，食后益甚,E,,诊断学,单选
对外燥证的下述认识，不正确的是：（      ）,以干燥为主要证候,与内燥毫不相关,阴液亏少之人易患,多见于三秋季节,干燥少雨之地常见,C,,诊断学,单选
对外燥证的下述认识，哪项不对,以干燥为主要证候,与内燥毫不相关,多见于秋季,干燥少雨之地常见,阴液亏少之人易患,B,,诊断学,单选
对心肝血虚证最有诊断意义的是：(    ),心悸健忘，面白舌淡,头晕目眩，月经停闭,手足震颤，头晕目眩,视物模糊，爪甲不荣,心悸多梦，肢麻眩晕,E,,诊断学,单选
对于“胃家实”的含义，下列哪项认识最正确,胃肠邪气盛实,胃腑燥结成实,胃肠燥热亢盛,肠中燥结成实,胃腑燥热亢盛,C,,诊断学,单选
对于鉴别风寒表证和风寒犯肺证最有意义的是,咳嗽的轻重,口渴或不渴,是否发热恶寒,是否舌苔薄白,有汗或无汗,A,,诊断学,单选
对于诊断热扰心神证最有意义的是,心烦不寐，谵语，舌绛,神昏谵语，苔黄腻,神昏谵语，斑疹隐隐,身热夜甚，吐血,神昏谵语，腹满便秘,A,,诊断学,单选
对诊断“气陷”最有价值的是哪项,头晕眼花,气短乏力,内脏下垂,大便稀溏,舌淡苔白,C,,诊断学,单选
对诊脉选指的下列说法，哪项不正确,选用左或右手的食指、中指、无名指,三指指端平按,手指略呈弓形倾斜,手指与受诊者体表约呈45°角,以指目紧贴于脉搏处,B,,诊断学,单选
对证候真假的所谓“假”，哪项解释最正确,所有症征都是现象，皆为假,病人提供的临床资料有假,不符合常规认识的某些症征,与疾病本质相对立的症征,诊断错误，未认识疾病本质,C,,诊断学,单选
多见于气血两虚及阳气虚衰的是,细脉与濡脉,濡脉与迟脉,弱脉与短脉,弱脉与微脉,微脉与芤脉,D,,诊断学,单选
多食易饥，兼见大便溏泄者属：（    ）,胃阴不足,脾胃湿热,胃火亢盛,湿邪困脾,胃强脾弱,E,,诊断学,单选
恶寒，喉中哮鸣，咳吐清稀白痰，无汗，口淡，面色淡青，苔白滑，脉弦紧。此为,寒热错杂证,真热假寒证,真寒假热证,表里实寒证,表寒里热证,D,,诊断学,单选
恶寒发热， 头身疼痛， 无汗而喘， 脉浮紧， 宜诊断为,太阳中风证,上焦病证,卫分证,太阳伤寒证,表虚证,D,,诊断学,单选
恶寒发热，身痛无汗，咳嗽，痰稀色白，脉浮紧者，最宜诊断,风寒犯肺证,寒痰阻肺证,饮停胸胁证,痰湿阻肺证,肺气亏虚证,A,,诊断学,单选
恶寒发热，头身疼痛，脘腹痞胀不适，便溏不爽，小便黄，舌苔黄腻，脉弦。此为,寒热错杂,寒证化热,表里同病,虚实夹杂,热证转寒,C,,诊断学,单选
恶寒发热，头痛头胀，鼻塞流涕，无汗，苔薄白，脉浮紧。此为,表实寒证,表实热证,里实寒证,里虚寒证,里虚热证,A,,诊断学,单选
恶寒发热，头项强痛，身体疼痛，无汗，微有咳嗽气喘，脉浮紧。此为,风热表证,风寒表证,里热证,伤风表证,里实证,B,,诊断学,单选
恶寒微热，皮肤湿痒，肢体困重、酸楚等，应属,风淫证,中寒证,湿淫证,暑淫证,伤寒证,C,,诊断学,单选
恶寒喜暖，肢冷，踡卧，面色淡白，口淡不渴，痰涎清稀，小便清长，大便稀溏，舌淡苔白而滑润，脉迟，证属：（         ）,表寒证,里寒证,虚寒证,实寒证,假寒证,C,,诊断学,单选
恶热，汗出，口渴，心烦，疲乏，尿黄，脉虚数，是为：（      ）,风淫证候,寒淫证候,湿淫证候,火淫证候,暑淫证候,E,,诊断学,单选
耳廓瘦小而薄，多属,气血亏虚,肾精亏耗,出麻先兆,肾气不足,肝胆湿热熏蒸,D,,诊断学,单选
耳聋与下列何项无关,肾精缺乏,肾气不固,肝火炽盛,肝火犯肺,,D,,诊断学,单选
耳鸣，以手按之可减轻，多属(    ),肝胆火盛,肾虚精亏,痰湿内蕴,外感风湿,肝火上炎,B,,诊断学,单选
耳内流脓水，多属,气血亏虚,肾精亏耗,麻疹先兆,肾气不足,肝胆湿热熏蒸,E,,诊断学,单选
二十八脉中称为“软脉”的是,濡脉,弱脉,散脉,虚脉,伏脉,A,,诊断学,单选
发黄干枯，稀疏易落，多属,精血不足,血虚受风,肾虚或血热,疳积病,禀赋所致,A,,诊断学,单选
发热，口渴喜饮，咳嗽气喘，咯黄痰，尿黄，舌红苔黄，脉滑数。此为,风热表证,风寒表证,里热证,伤风表证,里实证,C,,诊断学,单选
发热咳嗽，心烦，汗出口渴，斑疹隐现，舌红，苔黄燥，属,气分证,气营同病,营分证,血分证,营血同病,B,,诊断学,单选
发热微恶风寒，咳嗽，痰稠色黄，咽喉疼痛，苔薄黄，脉浮,肺热炽盛证,风热犯肺证,燥邪犯肺证,痰热壅肺证,肺阴虚证,B,,诊断学,单选
发热微恶寒，口渴咽干，干咳，舌干苔黄，脉浮数。证属：（      ）,伤暑证,温燥证,凉燥证,内燥证,阴虚证,B,,诊断学,单选
发热以下午3～5时为重，伴腹满硬痛、大便秘结者，多见于,少阳病,阳明病,疟疾,湿温,阴虚,B,,诊断学,单选
发热重恶寒轻，头痛咽痛，口微渴，苔薄、色黄白相兼，脉浮数。此为,风热表证,风寒表证,里热证,伤风表证,里实证,A,,诊断学,单选
发育不良与下列何项有关,肾阴虚,肾阳虚,肾精虚,肾气虚,,C,,诊断学,单选
烦热欲去衣被，尿清长，头晕咽干，面浮红如妆，下肢怕冷，舌淡，脉浮细。此为,寒热错杂证,真热假寒证,真寒假热证,表里实寒证,表寒里热证,C,,诊断学,单选
烦躁不宁，打人毁物，不避亲疏，胡言乱语，舌质红，苔黄腻，应诊断为,痰热壅肺证,痰蒙心神证,心火亢盛证,痰火扰神证,阳明腑实证,D,,诊断学,单选
饭后嗜睡，神疲倦怠，食少纳呆者为：（    ）,痰湿困脾,肝郁犯脾,心肾阳气虚衰,热入心包,心胆气虚,A,,诊断学,单选
肺气上逆的病因病机，下述哪项不对：（      ）,外邪犯肺,痰饮停肺,肾不纳气,肺失肃降,肺失宣发,C,,诊断学,单选
肺气虚证的辨证要点是,咳嗽,呕吐,嗳气,阳虚证,,A,,诊断学,单选
肺气虚证咳喘的特点是,咳喘痰多，色白清稀,咳喘无力，声低气短,咳喘胸闷，声高息涌,咳喘痰少，不易咳出,咳喘痰白，稠黏难咯,B,,诊断学,单选
肺肾气虚证又称为：(    ),肾气不固证,肾不纳气证,肺气不固证,肺肾虚寒证,肺气下陷证,D,,诊断学,单选
肺肾阴虚证可见,舌淡胖苔白润滑,舌质红苔黄厚腻,舌边青或有瘀点,舌红少苔有裂纹,舌淡红苔白腻,D,,诊断学,单选
肺痈的特点是,痰白量多易咯,痰黄黏稠有块,痰少而黏难咯,痰白清稀量多,脓血痰气腥臭,E,,诊断学,单选
风寒表证的必要性资料是,恶寒发热,头身疼痛,无汗,间有咳嗽,脉浮紧,A,,诊断学,单选
风寒表证的偶见性资料是,恶寒发热,头身疼痛,无汗,间有咳嗽,脉浮紧,D,,诊断学,单选
风寒表证的特征性资料是,恶寒发热,头身疼痛,无汗,间有咳嗽,脉浮紧,E,,诊断学,单选
风寒表证的一般性资料是,恶寒发热,头身疼痛,无汗,间有咳嗽,脉浮紧,B,,诊断学,单选
风寒犯肺证的临床表现为,咳嗽痰白清稀，恶寒发热,喘咳吐稀白痰，形寒肢冷,咳喘吐泡沫痰，心悸水肿,咳嗽气喘，痰稠量多易咯,咳嗽气喘息粗，痰黄稠黏,A,,诊断学,单选
风水相搏证引起水肿的主要特征是,水肿由下肢起,胸廓饱胀而满,单腹胀大膨隆,头面眼睑先肿,局限性水肿,D,,诊断学,单选
风邪易导致的证候是,瘾疹瘙痒，或肢体麻木，或面睑浮肿,烦渴饮冷，肢倦乏力，汗多尿少,脘腹或腰背冷痛，或咳喘痰稀白量多,口鼻咽喉干燥，痰少质黏难咯,肢体关节重痛，阴雨天加重,A,,诊断学,单选
伏脉的主病是,失血伤阴,亡血失精,惊恐疼痛,寒证痛证,邪闭痛极,E,,诊断学,单选
服用某些饮食或药物导致舌苔颜色发生改变，称,腻苔,腐苔,滑苔,假苔,染苔,E,,诊断学,单选
浮滑脉的主病多为,痰热互结,饮食停滞,湿热内蕴,风痰,风热袭表,D,,诊断学,单选
浮滑脉的主病多为：（    ）,痰热互结,饮食停滞,湿热内蕴,风痰,风热袭表,D,,诊断学,单选
浮紧的脉象主病常为,表虚证,表寒证,表热证,表湿证,表证夹痰,B,,诊断学,单选
浮紧脉多见于,脾虚证,血瘀证,表寒证,表热证,痛证,C,,诊断学,单选
浮紧脉主病是,痰饮内停,太阳伤寒,表证夹痰,太阳中风,阳虚寒凝,B,,诊断学,单选
浮脉的脉象特征是,轻取即得，细软无力,轻取即得，中空外软,轻取即得，中空外坚,举之有余，按之则无,举之有余，按之不足,E,,诊断学,单选
浮取、中取均不见，用重指力直接按至骨上，推动筋肉才能触到脉动者是,沉脉,伏脉,牢脉,微脉,短脉,B,,诊断学,单选
浮取散漫，中候似无，沉候不应，并常伴有脉律不齐，或脉力不匀的脉象是,革脉,釜沸脉,芤脉,散脉,微脉,D,,诊断学,单选
釜沸脉的特征是,脉来浮数之极，至数不清，浮泛无根,脉在筋骨之间，如指弹石，劈劈凑指,脉来连连数急，三五不调，止而复作,脉来乍疏乍密，如解乱绳状,脉动短小而坚搏，如循薏苡子,A,,诊断学,单选
父母及子女的健康状况应属于,既往史,现病史,个人史,婚育史,家族史,E,,诊断学,单选
妇女带下色白，清稀如涕，无臭味，多属：（    ）,脾虚湿注,冲任亏虚,肝经郁热,湿热下注,以上都不是,A,,诊断学,单选
妇女月经先期而来，量多，色深而质稠，多属：（    ）,气虚不能摄血,肝气郁滞,血热内迫,瘀血积滞,寒凝血滞,C,,诊断学,单选
妇人月经病的脉象变化主要体现在,左寸脉,右寸脉,左关脉,右关脉,两尺脉,E,,诊断学,单选
腹部按诊，局部灼热痛不可忍者为,阳明经热证,阳明腑实证,内痈,蛔虫,气胀,C,,诊断学,单选
腹部按之肌肤凉而喜温者属,寒证,虚证,热证,实证,虚实夹杂证,A,,诊断学,单选
腹部按之肌肤灼热而喜凉者属,寒证,虚证,热证,实证,虚实夹杂证,C,,诊断学,单选
腹部肿块，时聚时散者为：（    ）,癥积,痞证,瘕聚,水臌,虫积,C,,诊断学,单选
腹部肿块，痛无定处，按之无形，聚散不定者为,瘕聚,癥积,食积,鼓胀,痞满,A,,诊断学,单选
腹部肿块，推之不移，痛有定处者，为,瘕聚,癥积,食积,鼓胀,痞满,B,,诊断学,单选
腹部撞伤，现腹痛，出冷汗，面色苍白，脉微弱，腹腔穿刺,气虚证,气陷证,气不固证,气脱证,血脱证,E,,诊断学,单选
腹大而胀的病人，叩之如鼓者为,水鼓,气胀,食积,癥积,瘕聚,B,,诊断学,单选
腹满而痛，腹泻，不欲食，宜诊断为,太阴病证,少阴病证,阳明病证,少阳病证,太阳病证,A,,诊断学,单选
腹满痞闷，口腻纳呆，泛恶欲呕，肢体困重，舌苔白腻，脉,脾阳虚证,脾虚气陷证,寒湿困脾证,脾气虚证,胃气虚证,C,,诊断学,单选
腹内肿块，按之坚硬，推之不移，痛有定处，多为,癥积,瘕聚,虫积,燥屎内结,蓄水,A,,诊断学,单选
腹痛  暴泻如水  下痢脓血，属于：(    ),脾虚气陷证,大肠湿热证,寒湿困脾证,湿热蕴脾证,肠热腑实证,A,,诊断学,单选
腹痛绵绵，食少腹胀，大便稀溏，形寒肢冷，舌淡胖，脉,脾阳虚证,脾虚气陷证,寒湿困脾证,脾气虚证,胃气虚证,A,,诊断学,单选
腹痛喜按者多属,寒证,虚证,热证,实证,虚实夹杂证,B,,诊断学,单选
腹胀腹痛而拒按、按之有块，大便秘结，苔黄白而厚，脉沉实。此为,风热表证,风寒表证,里热证,伤风表证,里实证,E,,诊断学,单选
腹胀拒按，其成因一般不含哪项,饮停胃肠,食积胃肠,肠道气滞,脾胃气虚,燥热结肠,D,,诊断学,单选
腹胀纳少，食后腹胀尤甚，多属,饮停胃肠,食积胃肠,寒湿犯胃,脾虚不运,肝气郁滞,D,,诊断学,单选
腹中肿块，痛无定处，按之无形，聚散不定，病属,痰凝,气滞,虫积,水饮,瘀血,B,,诊断学,单选
肝胆病、痛证、痰饮证常见的脉象为,紧脉,结脉,滑脉,弦脉,促脉,D,,诊断学,单选
肝胆病痛证痰饮证常见的脉象为：（    ）,紧脉,结脉,滑脉,弦脉,促脉,D,,诊断学,单选
肝胆湿热循经下注，临床可见下列何症：(    ),阴部瘙痒,下利脓血,厌食,腹胀,胸胁灼热,E,,诊断学,单选
肝胆湿热证的皮肤色泽临床表现为：(    ),面色淡白,黄胖,萎黄,阴黄,阳黄,B,,诊断学,单选
肝胆湿热证多见,口泛清水,口苦泛恶,干呕呃逆,呕吐酸腐,,B,,诊断学,单选
肝胆湿热之呕吐物常为：（    ）,吐物酸腐,吐清稀痰涎,吐黄绿苦水,呕吐鲜血夹食物残渣,呕吐清水痰涎,C,,诊断学,单选
肝火犯肺证的主要临床表现是,咳痰黄黏，甚则咯血,头晕头胀，急躁易怒,胸胁灼痛，咳痰带血,舌红苔黄，脉象弦数,面红目赤，烦热口苦,C,,诊断学,单选
肝经风热患者易出现,眼胞赤烂,目眦红赤,白睛发黄,全目赤肿,目窠微肿,D,,诊断学,单选
肝气郁结证的临床表现中不易见到下列哪个症状,时常太息,情志抑郁,胸胁胀痛,手足蠕动,咽部异物感,D,,诊断学,单选
肝胃蕴热的口味是,口中泛酸,口中酸馊,口甜黏腻,口中味苦,口中味咸,A,,诊断学,单选
肝胃蕴热则：（    ）,口淡乏味,口甜粘腻,口中酸馊,口中泛酸,口苦,D,,诊断学,单选
肝血虚证的临床表现中不易见到的症状是,肌肉掣动,筋脉挛急,颈项强直,手足震颤,肢体麻木,C,,诊断学,单选
肝阳上亢的头痛特点是(    ),刺痛,胀痛,重痛,空痛,酸痛,B,,诊断学,单选
肝阳上亢的主要症状是：,"眩晕耳鸣,头痛且胀,面红目赤","眩晕头痛,时作时止","眩晕,头痛如裹,泛吐涎沫","眩晕,头痛不休,伴有恶寒发热","眩晕耳鸣,失眠多梦,腰膝酸软",E,,诊断学,单选
肝阳上亢可见,头晕头痛，痛有定处,头晕胀痛，头重脚轻,头晕面白，神疲体倦,头晕且重，如物裹缠,头晕胀痛，面红目赤,B,,诊断学,单选
肝阳上亢证的临床表现是,头痛，头晕，面红目赤，急躁易怒，口苦，脉弦数,眩晕眼花，两目干涩，胁痛颧红，舌红少苔，脉弦细数,头痛而晕，面白神疲，心悸，舌淡脉细,腰膝酸软，眩晕耳鸣，月经失调，遗精盗汗，舌红少苔,头目胀痛，眩晕耳鸣，面红目赤，头重脚轻，舌红少津,E,,诊断学,单选
肝阳上亢证属于,上下俱虚证,上热下寒证,上实下虚证,上虚下实证,上下俱实证,C,,诊断学,单选
肝阴虚证的临床表现是,头痛，头晕，面红目赤，急躁易怒，口苦，脉弦数,眩晕眼花，两目干涩，胁痛颧红，舌红少苔，脉弦细数,头痛而晕，面白神疲，心悸，舌淡脉细,腰膝酸软，眩晕耳鸣，月经失调，遗精盗汗，舌红少苔,头目胀痛，眩晕耳鸣，面红目赤，头重脚轻，舌红少津,B,,诊断学,单选
肝郁脾虚病人多见,面色 白浮肿,面色萎黄虚浮,面色青黄,身黄色鲜明,身黄色晦暗,C,,诊断学,单选
肝郁气滞胸胁疼痛的特点是：（    ）,隐痛,绞痛,胀痛,灼痛,重痛,C,,诊断学,单选
干咳少痰，甚则咯血，伴胸胁灼痛，头晕目赤，证属：(    ),风热犯肺,燥邪犯肺,肝火犯肺,热邪壅肺,肺阴虚,E,,诊断学,单选
干咳无痰，痰少而黏、难咯，潮热颧红，舌红苔少，脉细,肺热炽盛证,风热犯肺证,燥邪犯肺证,痰热壅肺证,肺阴虚证,E,,诊断学,单选
高热，咳嗽气喘，口渴欲饮，舌红苔黄，脉数，应诊断为,肺热炽盛证,风热犯肺证,燥邪犯肺证,痰热壅肺证,肺阴虚证,A,,诊断学,单选
高热烦渴，神昏谵语，面赤身灼，便秘，尿短黄，舌红苔黄，脉洪数。证属：(    ),心火上炎证,心火亢盛证,火热扰闭心神证,心火下移证,胃火炽盛证,B,,诊断学,单选
革脉的脉象是,端直以长，如按琴弦,脉来有力，左右弹手，势如绞转绳索,二者均是,二者均不是,,D,,诊断学,单选
革脉的特征是,浮而搏指，中空外坚,浮而无力，按之空虚,浮大中,应指浮大而中空,浮而细软无力,A,,诊断学,单选
革脉的主病是,失血亡阴,半产漏下,两者均有,两者均无,,B,,诊断学,单选
根据目部分属五脏的理论，瞳仁属,心,肺,脾,肝,肾,E,,诊断学,单选
根据下列哪项即可辨证为脾肺气虚证,咳喘短气，食少便溏,咯痰清稀，面白神疲,纳少腹胀，身倦乏力,肢体浮肿，舌淡脉弱,气短而喘，声低懒言,A,,诊断学,单选
根据下列哪项即可判断为心阳虚脱证,呼吸微弱,心悸、冷汗肢厥,头晕眼花,心胸闷痛,面色淡白,B,,诊断学,单选
根据胁肋胃脘胀痛嗳气易怒吞酸嘈杂情绪抑郁饮食减少苔薄黄脉弦等症可考虑为,肝火上炎证,肝脾不和证,肝胃不和证,胆郁痰扰证,,C,,诊断学,单选
古称谓“哕”者即,干呕,恶心,呕吐,呃逆,嗳气,D,,诊断学,单选
古人所称的“噫”是指,呃逆,嗳气,少气,呵欠,鼻鼾,B,,诊断学,单选
关于表证与里证的区别点，错误的是：（         ）,表证一般脉浮，里证一般脉沉,表证病程较短，里证病程较长,表证病情较轻，里证病情较重,表证恶寒为主，里证发热为主,表证苔薄，里证舌苔多有变化,D,,诊断学,单选
关于错语的病因病机描述错误的是,痰浊阻遏心神,热邪扰乱心神,瘀血阻遏心窍,气滞阻遏心窍,老年脏气衰微,B,,诊断学,单选
关于里证的认识，下列哪项错误,病情一般较重,病程一般较长,都是起病缓慢,无表证的证候,脏腑证候为主,C,,诊断学,单选
关于卫气营血病证正确的传变次序是,卫分→气分→营分→血分,气分→卫分→营分→血分,卫分→气分→血分→营分,血分→气分→营分→卫分,营分→气分→卫分→血分,A,,诊断学,单选
观察舌苔辨别病位的浅深主要是依据,舌苔的有无,舌苔的润燥,舌苔的厚薄,舌苔的颜色,舌苔有根无根,C,,诊断学,单选
观察舌苔辨别病邪的性质主要是依据,舌苔的有无,舌苔的润燥,舌苔的厚薄,舌苔的颜色,舌苔有根无根,D,,诊断学,单选
观察舌苔辨别津液的存亡主要是依据,舌苔的有无,舌苔的润燥,舌苔的厚薄,舌苔的颜色,舌苔有根无根,B,,诊断学,单选
"咳喘无力，声低气短，吐痰清稀，自汗，舌淡,脉弱。应诊为：(    )",肺气亏虚证,肾不纳气证,肺气阴两虚证,心肺气虚证,脾肺气虚证,A,,诊断学,单选
咳声清脆者多为,燥咳,寒咳,湿咳,肺热,,A,,诊断学,单选
咳声如犬吠，多属,顿咳,白喉,燥咳,肺痨,肺痿,B,,诊断学,单选
咳声如犬吠样者，称为,百日咳,白喉,燥咳,热咳,,B,,诊断学,单选
咳嗽，咳有痰声，痰多色白易咳。其临床意义是,燥邪犯肺,痰湿阻肺,热邪犯肺,肺气虚损,肺阴不足,B,,诊断学,单选
咳嗽，胸痛，气喘，痰中带血，体温39.8℃，舌红苔黄，脉滑数。此为,实热证,亡阳证,虚热证,虚寒证,亡阴证,A,,诊断学,单选
咳嗽气喘，痰多色白，或喉中痰鸣，胸闷，形寒肢冷者，最宜,风寒犯肺证,寒痰阻肺证,饮停胸胁证,痰湿阻肺证,肺气亏虚证,B,,诊断学,单选
咳嗽痰多，白滑易于咯出，证属,风热袭肺,寒邪客肺,热邪犯肺,痰浊阻肺,燥邪犯肺,D,,诊断学,单选
咳嗽哮喘，咯稀白痰，形寒肢冷，舌苔白，脉沉紧，应属,寒饮停肺证,寒滞胃肠证,寒滞心脉证,寒滞肝脉证,寒凝胞宫证,A,,诊断学,单选
寒热往来胸胁苦满嘿嘿不欲饮食口苦咽干目眩脉弦是下列哪项的典型表现?,太阳病证,少阳病证,阳明病证,太阴病证,,B,,诊断学,单选
寒盛剧痛，气血凝滞病人多见,面色淡青或青黑,面色萎黄，面睑虚浮,面青灰唇青紫，肢厥脉微,面色青黄,眉间、鼻柱、唇周发青,A,,诊断学,单选
寒湿困脾证中难以见到的症状是,黄色鲜明,腹胀便溏,泛恶欲呕,肢体困重,脉象濡缓,A,,诊断学,单选
寒湿困脾证最常见的原因是：(    ),暴饮暴食,过食生冷,思虑过度,劳倦内伤,久泄久痢,B,,诊断学,单选
寒痰阻肺证的临床表现为,咳嗽痰白清稀，恶寒发热,喘咳吐稀白痰，形寒肢冷,咳喘吐泡沫痰，心悸水肿,咳嗽气喘，痰稠量多易咯,咳嗽气喘息粗，痰黄稠黏,B,,诊断学,单选
寒痰阻肺证的临床表现中不易见到的症状是,形寒肢冷,咳嗽气喘,痰稀色白,舌苔白滑,脉象浮紧,E,,诊断学,单选
寒邪凝滞的疼痛特征是,绞痛,刺痛,窜痛,掣痛,重痛,A,,诊断学,单选
寒邪易导致的证候是,瘾疹瘙痒，或肢体麻木，或面睑浮肿,烦渴饮冷，肢倦乏力，汗多尿少,脘腹或腰背冷痛，或咳喘痰稀白量多,口鼻咽喉干燥，痰少质黏难咯,肢体关节重痛，阴雨天加重,C,,诊断学,单选
寒邪阻络常可引起,隐痛,冷痛,掣痛,空痛,酸痛,B,,诊断学,单选
寒淫患者腹痛肠鸣腹泻多因为,寒凝经脉,寒凝四肢,寒遏气机,寒中于里,寒束于表,D,,诊断学,单选
寒饮停胃证最主要的临床表现是：(    ),脘腹痞胀,呕吐清水,胃中有振水声,头晕目眩,口淡不渴,B,,诊断学,单选
寒证一般不与下述哪项证兼并存在,风证,湿证,痰证,燥证,暑证,E,,诊断学,单选
寒证与热证的鉴别要点，下列哪项不对,寒证恶寒喜热，热证恶热喜冷,寒证口和不渴，热证口渴喜饮,寒证大便泄泻，热证大便秘结,寒证舌苔白润，热证舌苔黄燥,寒证脉迟或紧，热证脉数或洪,C,,诊断学,单选
寒证与热证的相互转化，关键的因素是,邪气的性质,邪气的进退,邪正的对比,阴液的盈亏,阳气的盛衰,E,,诊断学,单选
寒滞肝脉证的临床特点是,头晕目眩，胸胁胀闷,少腹冷痛，睾丸坠胀,脘腹冷痛，得温则减,形寒肢冷，舌苔薄白,阴囊湿疹，外阴瘙痒,B,,诊断学,单选
寒滞胃脘证最主要的临床表现是,胃脘冷痛,嗳腐吞酸,胃中振水声,头晕目眩,饥不欲食,A,,诊断学,单选
何证在临床上可见牙龈肿痛溃烂或齿衄：(    ),肝火上炎证,胃热炽盛证,心火上炎证,痰火扰神证,肺热炽盛证,D,,诊断学,单选
红瘦舌，黑干苔，最不见于,阴虚证,阴虚火旺,津枯血燥,胃肠热结,阳虚寒盛,E,,诊断学,单选
红肿高大，根盘紧束，炽热疼痛者，属：(    ),痈,疽,疔,疖,风疹,A,,诊断学,单选
洪脉的脉象特征是,浮散无根,浮大中空,浮大有力,浮而细软,如按鼓皮,C,,诊断学,单选
洪脉的特征是,脉体宽大，浮而搏指,脉体宽大有力，状若波涛汹涌,脉体宽大，但脉来无汹涌之势,脉体宽大，浮大中空,脉体宽大，但按之力不足,B,,诊断学,单选
喉中如有异物梗阻，为：（      ）,痰浊阻肺,痰迷心窍,痰凝肌肤,痰气交阻于咽,痰阻经络,D,,诊断学,单选
呼吸微弱而声低，气少不足以息，言语无力者多为,上气,短气,少气,夺气,气喘,C,,诊断学,单选
呼吸微弱气少不足以息者,少气,短气,息粗,息微,嗳气,A,,诊断学,单选
